date	size_mb	kind	checkout	experiment	run	checkpoint	path
2026-07-10	0.0	merged/full					/workspace/.cache/huggingface/hub/models--Qwen--Qwen3-4B/snapshots/1cfa9a7208912126459214e8b04321603b3df60c
2026-07-10	0.1	merged/full					/workspace/models/qwen3-vl-8b
2026-07-22	0.1	merged/full					/workspace/submission/resources/model
2026-07-22	87.4	adapter					/workspace/orena_12c/composite/ckpt/v0-20260722-034453/checkpoint-216
2026-07-22	87.4	adapter					/workspace/orena_12c/composite/ckpt/v0-20260722-034453/checkpoint-432
2026-07-22	87.4	adapter					/workspace/orena_12c/composite/ckpt/v0-20260722-034453/checkpoint-648
2026-07-22	87.4	adapter					/workspace/orena_12c/control/ckpt/v0-20260722-004552/checkpoint-216
2026-07-22	87.4	adapter					/workspace/orena_12c/control/ckpt/v0-20260722-004552/checkpoint-432
2026-07-22	87.4	adapter					/workspace/orena_12c/control/ckpt/v0-20260722-004552/checkpoint-648
2026-07-28	0.0	merged/full					/workspace/hf_cache/hub/models--Qwen--Qwen3.5-4B/snapshots/851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a
2026-08-13	0.0	merged/full					/workspace/hf_cache/hub/models--Qwen--Qwen3.6-27B/snapshots/6a9e13bd6fc8f0983b9b99948120bc37f49c13e9
2026-08-15	102.8	adapter					/workspace/repo/experiments_segment/01-viability/runs/seg01_a_rung21_ep1/ckpt/v0-20260815-021725/checkpoint-200
2026-08-15	102.8	adapter					/workspace/repo/experiments_segment/01-viability/runs/seg01_a_rung21_ep1/ckpt/v0-20260815-021725/checkpoint-400
2026-08-15	102.8	adapter					/workspace/repo/experiments_segment/01-viability/runs/seg01_a_rung21_ep1/ckpt/v0-20260815-021725/checkpoint-600
2026-08-15	102.8	adapter					/workspace/repo/experiments_segment/01-viability/runs/seg01_a_rung21_ep1/ckpt/v0-20260815-021725/checkpoint-800
2026-08-15	102.8	adapter					/workspace/repo/experiments_segment/01-viability/runs/seg01_a_rung21_ep1/ckpt/v0-20260815-021725/checkpoint-860
2026-08-15	102.8	adapter					/workspace/repo/experiments_segment/01-viability/runs/seg01_sit_probe/ckpt/v0-20260815-014227/checkpoint-30
2026-08-15	0.0	merged/full					/workspace/hf_cache/hub/models--Qwen--Qwen3-4B/snapshots/1cfa9a7208912126459214e8b04321603b3df60c
2026-07-14	87.4	adapter	repo	02-lora-sft	02_lora_sft_v1	checkpoint-1720	/workspace/repo/experiments/02-lora-sft/runs/02_lora_sft_v1/ckpt/v0-20260714-022142/checkpoint-1720
2026-07-14	87.4	adapter	repo	02-lora-sft	02_lora_sft_v1	checkpoint-2580	/workspace/repo/experiments/02-lora-sft/runs/02_lora_sft_v1/ckpt/v0-20260714-022142/checkpoint-2580
2026-07-14	87.4	adapter	repo	02-lora-sft	02_lora_sft_v1	checkpoint-860	/workspace/repo/experiments/02-lora-sft/runs/02_lora_sft_v1/ckpt/v0-20260714-022142/checkpoint-860
2026-07-18	102.8	adapter	repo	06-vit-lora	06_vit_lora_v1	checkpoint-1720	/workspace/repo/experiments/06-vit-lora/runs/06_vit_lora_v1/ckpt/v0-20260717-224148/checkpoint-1720
2026-07-18	102.8	adapter	repo	06-vit-lora	06_vit_lora_v1	checkpoint-2580	/workspace/repo/experiments/06-vit-lora/runs/06_vit_lora_v1/ckpt/v0-20260717-224148/checkpoint-2580
2026-07-18	102.8	adapter	repo	06-vit-lora	06_vit_lora_v1	checkpoint-860	/workspace/repo/experiments/06-vit-lora/runs/06_vit_lora_v1/ckpt/v0-20260717-224148/checkpoint-860
2026-07-25	102.8	adapter	repo	14-appearance-aug	14_appearance_aug_v1	checkpoint-1720	/workspace/repo/experiments/14-appearance-aug/runs/14_appearance_aug_v1/ckpt/v0-20260724-235243/checkpoint-1720
2026-07-25	102.8	adapter	repo	14-appearance-aug	14_appearance_aug_v1	checkpoint-2580	/workspace/repo/experiments/14-appearance-aug/runs/14_appearance_aug_v1/ckpt/v0-20260724-235243/checkpoint-2580
2026-07-25	102.8	adapter	repo	14-appearance-aug	14_appearance_aug_v1	checkpoint-860	/workspace/repo/experiments/14-appearance-aug/runs/14_appearance_aug_v1/ckpt/v0-20260724-235243/checkpoint-860
2026-07-24	102.8	adapter	repo	15-count-target	15_count_target_v1	checkpoint-1720	/workspace/repo/experiments/15-count-target/runs/15_count_target_v1/ckpt/v0-20260724-112710/checkpoint-1720
2026-07-24	102.8	adapter	repo	15-count-target	15_count_target_v1	checkpoint-2580	/workspace/repo/experiments/15-count-target/runs/15_count_target_v1/ckpt/v0-20260724-112710/checkpoint-2580
2026-07-24	102.8	adapter	repo	15-count-target	15_count_target_v1	checkpoint-860	/workspace/repo/experiments/15-count-target/runs/15_count_target_v1/ckpt/v0-20260724-112710/checkpoint-860
2026-07-28	102.8	adapter	repo	18-count-aug	18_count_aug_v1	checkpoint-1802	/workspace/repo/experiments/18-count-aug/runs/18_count_aug_v1/ckpt/v0-20260728-035101/checkpoint-1802
2026-07-28	102.8	adapter	repo	18-count-aug	18_count_aug_v1	checkpoint-2703	/workspace/repo/experiments/18-count-aug/runs/18_count_aug_v1/ckpt/v0-20260728-035101/checkpoint-2703
2026-07-28	102.8	adapter	repo	18-count-aug	18_count_aug_v1	checkpoint-901	/workspace/repo/experiments/18-count-aug/runs/18_count_aug_v1/ckpt/v0-20260728-035101/checkpoint-901
2026-07-30	102.8	adapter	repo	21-recipe-sweep	21_clip10_v1	checkpoint-1802	/workspace/repo/experiments/21-recipe-sweep/runs/21_clip10_v1/ckpt/v0-20260730-065557/checkpoint-1802
2026-07-30	102.8	adapter	repo	21-recipe-sweep	21_clip10_v1	checkpoint-2703	/workspace/repo/experiments/21-recipe-sweep/runs/21_clip10_v1/ckpt/v0-20260730-065557/checkpoint-2703
2026-07-30	102.8	adapter	repo	21-recipe-sweep	21_clip10_v1	checkpoint-901	/workspace/repo/experiments/21-recipe-sweep/runs/21_clip10_v1/ckpt/v0-20260730-065557/checkpoint-901
2026-07-29	102.8	adapter	repo	21-recipe-sweep	21_lr_1e4_v1	checkpoint-1802	/workspace/repo/experiments/21-recipe-sweep/runs/21_lr_1e4_v1/ckpt/v0-20260729-015205/checkpoint-1802
2026-07-29	102.8	adapter	repo	21-recipe-sweep	21_lr_1e4_v1	checkpoint-2703	/workspace/repo/experiments/21-recipe-sweep/runs/21_lr_1e4_v1/ckpt/v0-20260729-015205/checkpoint-2703
2026-07-29	102.8	adapter	repo	21-recipe-sweep	21_lr_1e4_v1	checkpoint-901	/workspace/repo/experiments/21-recipe-sweep/runs/21_lr_1e4_v1/ckpt/v0-20260729-015205/checkpoint-901
2026-07-29	102.8	adapter	repo	21-recipe-sweep	21_lr_2e4_v1	checkpoint-1802	/workspace/repo/experiments/21-recipe-sweep/runs/21_lr_2e4_v1/ckpt/v0-20260729-172404/checkpoint-1802
2026-07-30	102.8	adapter	repo	21-recipe-sweep	21_lr_2e4_v1	checkpoint-2703	/workspace/repo/experiments/21-recipe-sweep/runs/21_lr_2e4_v1/ckpt/v0-20260729-172404/checkpoint-2703
2026-07-29	102.8	adapter	repo	21-recipe-sweep	21_lr_2e4_v1	checkpoint-901	/workspace/repo/experiments/21-recipe-sweep/runs/21_lr_2e4_v1/ckpt/v0-20260729-172404/checkpoint-901
2026-07-29	410.9	adapter	repo	21-recipe-sweep	21_rank32_v1	checkpoint-1802	/workspace/repo/experiments/21-recipe-sweep/runs/21_rank32_v1/ckpt/v0-20260729-163243/checkpoint-1802
2026-07-30	410.9	adapter	repo	21-recipe-sweep	21_rank32_v1	checkpoint-2703	/workspace/repo/experiments/21-recipe-sweep/runs/21_rank32_v1/ckpt/v0-20260729-163243/checkpoint-2703
2026-07-29	410.9	adapter	repo	21-recipe-sweep	21_rank32_v1	checkpoint-901	/workspace/repo/experiments/21-recipe-sweep/runs/21_rank32_v1/ckpt/v0-20260729-163243/checkpoint-901
2026-07-30	102.8	adapter	repo	21-recipe-sweep	21_vitlr_v1	checkpoint-1802	/workspace/repo/experiments/21-recipe-sweep/runs/21_vitlr_v1/ckpt/v0-20260730-072226/checkpoint-1802
2026-07-30	102.8	adapter	repo	21-recipe-sweep	21_vitlr_v1	checkpoint-2703	/workspace/repo/experiments/21-recipe-sweep/runs/21_vitlr_v1/ckpt/v0-20260730-072226/checkpoint-2703
2026-07-30	102.8	adapter	repo	21-recipe-sweep	21_vitlr_v1	checkpoint-901	/workspace/repo/experiments/21-recipe-sweep/runs/21_vitlr_v1/ckpt/v0-20260730-072226/checkpoint-901
2026-07-31	102.8	adapter	repo_yyy	24-geometric-aug	24_flip_p25_v1	checkpoint-1802	/workspace/repo_yyy/experiments/24-geometric-aug/runs/24_flip_p25_v1/ckpt/v0-20260730-210400/checkpoint-1802
2026-07-31	102.8	adapter	repo_yyy	24-geometric-aug	24_flip_p25_v1	checkpoint-2703	/workspace/repo_yyy/experiments/24-geometric-aug/runs/24_flip_p25_v1/ckpt/v0-20260730-210400/checkpoint-2703
