comparison,distribution,answer_format,delta,ci_low,ci_high,n,n_videos,wins_b,wins_a,excludes_zero
06_ep3_vs_06_ep2,ID,ALL,0.015051807760141091,-0.0018630125661375679,0.03251625881834217,2252,28,122,88,False
06_ep3_vs_06_ep2,ID,number,0.01740736555459915,-0.022394251586141584,0.06014545874450878,768,28,60,44,False
06_ep3_vs_06_ep2,ID,fo_class,0.02316613573397561,-0.0035051422103400745,0.050437750258504645,920,28,53,28,False
06_ep3_vs_06_ep2,OOD,ALL,-0.0032500000000000003,-0.01925625,0.0125,4000,10,167,180,False
06_ep3_vs_06_ep2,OOD,number,-0.011401630081450613,-0.0431103670122754,0.02119212851220652,1326,10,56,73,False
06_ep3_vs_06_ep2,OOD,fo_class,0.0065678918661177255,-0.01763986742120488,0.02980267444591515,1755,10,92,76,False
14_ep3_vs_06_ep3,ID,ALL,-0.023897707231040562,-0.0432654045414462,-0.0035380842151675465,2252,28,101,155,True
14_ep3_vs_06_ep3,ID,number,-0.024657895906685247,-0.07007299308489963,0.017168225948157197,768,28,44,64,False
14_ep3_vs_06_ep3,ID,fo_class,-0.022377105977284286,-0.04905015655432097,0.004391465747120251,920,28,36,58,False
14_ep3_vs_06_ep3,OOD,ALL,0.0009999999999999998,-0.015000000000000003,0.016,4000,10,234,230,False
14_ep3_vs_06_ep3,OOD,number,0.012880727624438112,-0.01759914048447134,0.04499446136871343,1326,10,95,81,False
14_ep3_vs_06_ep3,OOD,fo_class,-0.002608596584039729,-0.03510600029754404,0.02956794144414164,1755,10,109,109,False
15_ep3_vs_06_ep3,ID,ALL,0.0017250881834215165,-0.015190007716049385,0.01901523919753086,2252,28,126,122,False
15_ep3_vs_06_ep3,ID,number,0.010403719629357006,-0.016812775940935217,0.037392674536823524,768,28,52,44,False
15_ep3_vs_06_ep3,ID,fo_class,-0.009588996028829294,-0.03695021647627392,0.018171090222442364,920,28,40,49,False
15_ep3_vs_06_ep3,OOD,ALL,-0.00775,-0.02525,0.008006250000000024,4000,10,213,244,False
15_ep3_vs_06_ep3,OOD,number,-0.005248128451545759,-0.03373603976978442,0.024066923526926975,1326,10,73,80,False
15_ep3_vs_06_ep3,OOD,fo_class,-0.009649669027735642,-0.045755228674505224,0.027936663090417174,1755,10,108,120,False
