arm,k,temperature,scope,distribution,n,n_videos,floor,acc_greedy,acc_voted,margin_greedy,margin_voted,delta,ci_low,ci_high,wins_voted,wins_greedy
A,8,1.0,all,ID,768,28,0.2409,0.3268,0.3151,0.0859,0.0742,-0.0054,-0.0485,0.0389,63,72
A,8,1.0,all,OOD,1326,10,0.4691,0.4819,0.463,0.0128,-0.006,-0.0196,-0.0514,0.0094,94,119
A,8,1.0,all,overall,2094,38,0.384,0.425,0.4088,0.0411,0.0248,-0.0091,-0.0427,0.0242,157,191
A,8,1.0,nondegenerate,ID,762,28,0.2349,0.3215,0.3097,0.0866,0.0748,-0.0053,-0.0503,0.0406,63,72
A,8,1.0,nondegenerate,OOD,1268,10,0.4448,0.459,0.4401,0.0142,-0.0047,-0.0195,-0.0552,0.0122,94,118
A,8,1.0,nondegenerate,overall,2030,38,0.3645,0.4074,0.3911,0.0429,0.0266,-0.009,-0.041,0.0261,157,190
B,8,1.3,all,ID,768,28,0.2409,0.3268,0.3021,0.0859,0.0612,-0.0167,-0.0633,0.0321,62,81
B,8,1.3,all,OOD,1326,10,0.4691,0.4819,0.4744,0.0128,0.0053,-0.0091,-0.0437,0.0234,118,128
B,8,1.3,all,overall,2094,38,0.384,0.425,0.4112,0.0411,0.0272,-0.0147,-0.0511,0.0222,180,209
B,8,1.3,nondegenerate,ID,762,28,0.2349,0.3215,0.2966,0.0866,0.0617,-0.0172,-0.0665,0.0347,62,81
B,8,1.3,nondegenerate,OOD,1268,10,0.4448,0.459,0.4535,0.0142,0.0087,-0.0074,-0.0475,0.0264,118,125
B,8,1.3,nondegenerate,overall,2030,38,0.3645,0.4074,0.3946,0.0429,0.03,-0.0146,-0.0531,0.0244,180,206
C,16,1.0,all,ID,768,28,0.2409,0.3268,0.3568,0.0859,0.1159,0.0282,-0.0093,0.067,69,46
C,16,1.0,all,OOD,1326,10,0.4691,0.4819,0.4487,0.0128,-0.0204,-0.0423,-0.082,-0.0073,58,102
C,16,1.0,all,overall,2094,38,0.384,0.425,0.415,0.0411,0.031,0.0097,-0.0204,0.0401,127,148
C,16,1.0,nondegenerate,ID,762,28,0.2349,0.3215,0.3517,0.0866,0.1168,0.0284,-0.0093,0.0696,69,46
C,16,1.0,nondegenerate,OOD,1268,10,0.4448,0.459,0.4259,0.0142,-0.0189,-0.043,-0.081,-0.0082,58,100
C,16,1.0,nondegenerate,overall,2030,38,0.3645,0.4074,0.398,0.0429,0.0335,0.0096,-0.0227,0.0418,127,146
