arm,k,temperature,n_distinct_true,template,n,n_videos,floor,acc_greedy,acc_voted,margin_greedy,margin_voted,delta,ci_low,ci_high,wins_voted,wins_greedy
A,8,1.0,12,How many Clips appear in this frame? Please provide a number,681,37,0.2394,0.2658,0.2555,0.0264,0.0162,0.0015,-0.0614,0.0718,69,76
A,8,1.0,1,How many External drains appear in this frame? Please provid,45,8,1.0,0.9778,0.9556,-0.0222,-0.0444,-0.0063,-0.0252,0.0,0,1
A,8,1.0,1,How many Needles appear in this frame? Please provide a numb,9,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
A,8,1.0,1,How many Specimen bags appear in this frame? Please provide ,4,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
A,8,1.0,1,How many Specimens appear in this frame? Please provide a nu,6,5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
A,8,1.0,2,How many Sponges appear in this frame? Please provide a numb,83,17,0.9036,0.9277,0.9277,0.0241,0.0241,-0.0535,-0.1782,0.0225,2,2
A,8,1.0,4,How many different foreign object classes appear in this fra,436,38,0.6078,0.6651,0.6537,0.0573,0.0459,0.0054,-0.0413,0.0629,15,20
A,8,1.0,11,How many different foreign object instances appear in this f,830,38,0.2855,0.3361,0.3108,0.0506,0.0253,-0.0239,-0.0794,0.0319,71,92
B,8,1.3,12,How many Clips appear in this frame? Please provide a number,681,37,0.2394,0.2658,0.2584,0.0264,0.0191,-0.0077,-0.0765,0.0716,69,74
B,8,1.3,1,How many External drains appear in this frame? Please provid,45,8,1.0,0.9778,0.9111,-0.0222,-0.0889,-0.1729,-0.4356,0.0,0,3
B,8,1.3,1,How many Needles appear in this frame? Please provide a numb,9,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
B,8,1.3,1,How many Specimen bags appear in this frame? Please provide ,4,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
B,8,1.3,1,How many Specimens appear in this frame? Please provide a nu,6,5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
B,8,1.3,2,How many Sponges appear in this frame? Please provide a numb,83,17,0.9036,0.9277,0.9036,0.0241,0.0,-0.0107,-0.0374,0.0,0,2
B,8,1.3,4,How many different foreign object classes appear in this fra,436,38,0.6078,0.6651,0.6445,0.0573,0.0367,-0.0179,-0.0679,0.0316,19,28
B,8,1.3,11,How many different foreign object instances appear in this f,830,38,0.2855,0.3361,0.3241,0.0506,0.0386,-0.0094,-0.0698,0.0477,92,102
C,16,1.0,12,How many Clips appear in this frame? Please provide a number,681,37,0.2394,0.2658,0.2746,0.0264,0.0352,0.0499,-0.0118,0.1167,56,50
C,16,1.0,1,How many External drains appear in this frame? Please provid,45,8,1.0,0.9778,0.9333,-0.0222,-0.0667,-0.0833,-0.2917,0.0,0,2
C,16,1.0,1,How many Needles appear in this frame? Please provide a numb,9,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
C,16,1.0,1,How many Specimen bags appear in this frame? Please provide ,4,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
C,16,1.0,1,How many Specimens appear in this frame? Please provide a nu,6,5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
C,16,1.0,2,How many Sponges appear in this frame? Please provide a numb,83,17,0.9036,0.9277,0.9157,0.0241,0.012,-0.0065,-0.0327,0.016,1,2
C,16,1.0,4,How many different foreign object classes appear in this fra,436,38,0.6078,0.6651,0.6468,0.0573,0.039,0.0046,-0.0311,0.0433,14,22
C,16,1.0,11,How many different foreign object instances appear in this f,830,38,0.2855,0.3361,0.3169,0.0506,0.0313,-0.0152,-0.0635,0.0356,56,72
