transform,wv_sep,wv_delta,wv_wins,wv_cells,mean_sep,mean_delta,cells_better,n_cells,null_mean,null_sd,null_p95,null_max
despec+clahe,0.22330741259681433,0.00522404907295315,131,235,0.15925409234786814,8.17249926708705e-05,5,9,0.0011616576974191775,0.0013256445611166566,0.003259116385588619,0.0034835120864648204
despec+bilateral+unsharp,0.2211422599516559,0.0030588964277947447,126,235,0.16172047891813282,0.0025481115629355632,5,9,-0.0001059181303172569,0.001112627727734946,0.0017549648536561624,0.0023414604912296608
homo_soft,0.21930074482797382,0.0012173813041126565,116,235,0.16042507799061667,0.0012527106354193987,5,9,-0.0009300975188123455,0.0013539203338883028,0.00102052755840986,0.0012615696244647077
identity,0.2180833635238612,0.0,0,235,0.15917236735519727,0.0,0,9,0.0,0.0,0.0,0.0
null_jpeg,0.2177793983608488,-0.0003039651630123468,96,235,0.15911429855259002,-5.806880260726831e-05,4,9,2.345201222544283e-06,0.0001259264096234291,0.00020055508584742587,0.0002137864771657758
homo_strong,0.20940174771483197,-0.00868161580902921,102,235,0.12540361954916185,-0.03376874780603542,2,9,-0.0027680418294815518,0.0037941531923221766,0.0024236297697452294,0.004092816252154204
homo_soft+morphgrad,0.20334636004477052,-0.014737003479090656,101,235,0.15166044084475075,-0.0075119265104465205,4,9,-0.004924470185459134,0.0037304644547970296,-0.0002759876282173171,-0.00010958297669885455
despec+tophat,0.20054250952369498,-0.0175408540001662,94,235,0.1623206750465354,0.003148307691338127,6,9,-0.005257212681860002,0.0038682373042240726,0.00015654123129079604,0.0013098781206385597
bilateral+morphgrad,0.2000705672764575,-0.01801279624740367,90,235,0.15106157925496425,-0.008110788100233005,4,9,-0.0051571541367444245,0.004139241812374052,0.0003383135319328513,0.0004193105270363342
clahe+despec+morphgrad,0.19974061478364735,-0.018342748740213806,101,235,0.1578805366086982,-0.0012918307464990847,5,9,-0.005640485402131205,0.003978579674780731,0.0003732438801675494,0.000507175004310387
clahe+despec+sobel,0.19762082475251352,-0.02046253877134766,106,235,0.1552372557891665,-0.00393511156[redacted-port]51,4,9,-0.0045329335371438045,0.0036884609952752634,0.0005599282358971847,0.0005655552442058731
homo+morphgrad,0.19650122637579165,-0.021582137148069534,85,235,0.12941822607069753,-0.029754141284499738,3,9,-0.00529419857344148,0.003815741246717965,0.0002660748736526586,0.0008881948165092148
despec+homo+sobel,0.16573663318585208,-0.052346730338009115,63,235,0.10008050645985035,-0.05909186089534692,1,9,-0.0029808383843414952,0.0042397834442395,0.003143614996482612,0.003694424439279081
homo+sobel,0.16428440746688514,-0.05379895605697605,59,235,0.09982805214681788,-0.059344315208379385,1,9,-0.0029964439971397285,0.003963061656551904,0.002184403910580942,0.002934618832214365
