transform,mean_sep,mean_delta,cells_better,n_cells,null_mean,null_sd,null_p95,null_max,beats_null_p95
tophat,0.18278543630573496,0.004287250093439605,9,13,-0.006375229855326636,0.0038400581629997395,-0.0010666712860044067,0.0003629100210026851,True
despecular,0.18066286056903683,0.002164674356741477,9,13,-0.0002249333508830156,0.0013377957618614645,0.001672270707348299,0.0017007080146737362,True
null_jpeg,0.17865616273960222,0.00015797652730687323,7,13,-2.3758290173570432e-05,9.044158021065618e-05,0.00011276716280753258,0.00011531937609484164,True
identity,0.17849818621229535,0.0,0,13,0.0,0.0,0.0,0.0,False
unsharp_x1,0.17753093577663878,-0.0009672504356565628,7,13,0.00016711737266390014,0.00042869550915024056,0.0008346457320030787,0.000889543734909754,False
bilateral_unsharp,0.17749409515927048,-0.0010040910530248897,7,13,-3.289201681091522e-05,0.0006294158113916569,0.000849558994356308,0.0008994108410598308,False
null_noise,0.1773886484195922,-0.0011095377927031404,6,13,-5.87872941514802e-05,0.00020704996529249294,0.00017152868792991282,0.00039036775040672225,False
bilateral,0.17732276600439392,-0.001175420207901401,8,13,-9.358262096944207e-05,0.0006032241362200618,0.0005355092053101777,0.0011866155657194006,False
specular,0.17617404156803157,-0.0023241446442637645,3,13,7.509543080222e-05,0.00028286601661613186,0.00041998783035005204,0.0009413862019640195,False
clahe,0.17443106746362244,-0.004067118748672912,5,13,0.0008376561278480358,0.0017323517618296007,0.0036642963935400517,0.0037873096479564996,False
blackhat,0.1738097428621006,-0.004688443350194731,5,13,-0.006885010289067727,0.003483499769364121,-0.0023531788756649143,-0.00023588646095521555,False
unsharp_x3,0.17296032529893518,-0.005537860913360145,4,13,0.0003466592914441116,0.0008808574229480101,0.0016845647286216116,0.002259002839417622,False
contrast_1s,0.17246837999331902,-0.006029806218976321,3,13,-0.0010563210273544217,0.0020198970286549934,0.002225577358089044,0.003315012485924217,False
morph_gradient,0.17211504286802018,-0.006383143344275157,6,13,-0.00657919703466246,0.003579707621420982,-0.0018551651652838996,-0.0012043100218315868,False
sobel,0.1704613664069311,-0.008036819805364252,6,13,-0.0052377081255004085,0.0032217967279074954,-0.0016972589596274048,-0.0013351668055888977,False
dehaze,0.1694193556222941,-0.009078830590001256,3,13,-0.0003336387404937836,0.0018179379240168278,0.0026651079243737224,0.0037506447781325493,False
canny,0.1518039144963158,-0.026694271715979538,3,13,-0.011334340861167372,0.00434935456784294,-0.005366697481478873,-0.0038780647446408634,False
homomorphic,0.1461357075082181,-0.03236247870407724,3,13,-0.0029103117806155375,0.0022690619006014642,0.0012525248024173898,0.001306525629068595,False
