transform,null_sep_max_delta_mean,null_sep_max_delta_std,null_sep_max_delta_p95,null_sep_mean_delta_mean,null_sep_mean_delta_std,null_sep_mean_delta_p95
bilateral+morphgrad,-0.01917220849141224,0.007825307505947314,-0.006248096353621442,-0.00040443167864011233,0.004617022283415099,0.004863266762685273
clahe+despec+morphgrad,-0.02600467549100603,0.005636604574022961,-0.018114703986944255,0.000512460155999234,0.004825379048902556,0.007208332396018937
clahe+despec+sobel,-0.017763270641565826,0.006981185980701144,-0.007808161073549407,0.00021603155032365334,0.004356818354067364,0.005590350388312431
despec+bilateral+unsharp,8.567740864801749e-06,0.004001463607662514,0.005226973138269368,0.0005062320085687531,0.0015670312717146774,0.002853536060501411
despec+clahe,0.001850236297561161,0.004240325374368626,0.008393232245833304,0.0010456704436972225,0.00194311311303442,0.004040158816347531
despec+homo+sobel,-0.01402159067460602,0.00819529749370359,-0.0030387583407962726,0.0008024520309021464,0.005065520451887139,0.00906575723148593
despec+tophat,-0.023116033327790046,0.005769225343401462,-0.016400171169561835,-0.0009605322817265451,0.0038136072876844163,0.004649649139895809
homo+morphgrad,-0.018422319861435825,0.006843591664311273,-0.009914634979891345,-0.0034286600687578363,0.004286728338272205,0.001932528557954202
homo+sobel,-0.016331258263073484,0.00867200109973481,-0.005093475669712879,-0.0007313694807160583,0.004275521939737714,0.004622830417077512
homo_soft,-0.005335047318948823,0.004548216043356298,0.001801869410167,-0.002948324772700472,0.002408644427080754,0.0009977390041738092
homo_soft+morphgrad,-0.01942288212254647,0.006604201775005379,-0.007122990905330752,-0.003264975849346615,0.003581465794881427,0.0004656333351311041
homo_strong,-0.006385110788039843,0.006309507134590556,0.004172154367816321,-0.0016500253712288366,0.00326321841434744,0.003321836728898897
identity,0.0,0.0,0.0,0.0,0.0,0.0
null_jpeg,5.442270748301346e-05,0.00042123352898448726,0.0006184777416172741,5.133888522482449e-05,9.96845033403304e-05,0.00020855780444981723
