transform,sep_max_value,sep_mean_value,sep_max_delta,sep_mean_delta,sep_max_wins,sep_mean_wins,sep_max_cells,sep_mean_cells
null_jpeg,0.15732955832513795,0.07140147313015135,0.00014859337606998763,1.991588283629904e-05,13,18,37,37
identity,0.157180964949068,0.07138155724731506,0.0,0.0,0,0,37,37
despec+bilateral+unsharp,0.14834204327757866,0.07142392806698387,-0.008838921671489308,4.237081966882634e-05,15,14,37,37
bilateral+morphgrad,0.1480057813184467,0.08904848573187488,-0.009175183630621255,0.017666928484559825,15,26,37,37
homo_soft,0.1473237758011024,0.07337887491634087,-0.009857189147965576,0.0019973176690258492,15,21,37,37
homo_soft+morphgrad,0.1451246483481502,0.07985116387537547,-0.012056316600917794,0.008469606628060417,16,22,37,37
homo_strong,0.14263416761013736,0.0686227947156482,-0.014546797338930606,-0.002758762531666863,10,15,37,37
despec+clahe,0.14195236539156328,0.06793136791340212,-0.015228599557504678,-0.00345018933391293,12,14,37,37
homo+morphgrad,0.13903386869082315,0.07327561704697101,-0.01814709625824479,0.0018940597996559816,15,19,37,37
clahe+despec+sobel,0.13341404745376295,0.07940720372911603,-0.023766917495305018,0.008025646481800978,10,22,37,37
despec+tophat,0.13072469970092235,0.08013463100663105,-0.026456265248145608,0.008753073759316006,7,21,37,37
clahe+despec+morphgrad,0.12538316158547405,0.08039363114247655,-0.031797803363593904,0.009012073895161506,8,22,37,37
homo+sobel,0.12351081731274649,0.06538716732438328,-0.03367014763632146,-0.005994389922931778,8,14,37,37
despec+homo+sobel,0.11967057562094144,0.05877790008165589,-0.03751038932812654,-0.01260365716565914,8,15,37,37
