transform,sep_max_value,sep_mean_value,sep_max_delta,sep_mean_delta,sep_max_wins,sep_mean_wins,sep_max_cells,sep_mean_cells
despec+clahe,0.20245616073316158,0.09209908327857536,0.006963845886132843,0.006273492798998742,11,13,19,19
homo_strong,0.1979866566557379,0.09845320928148048,0.002494341808709143,0.012627618801903856,9,11,19,19
null_jpeg,0.19678629941117803,0.0860147612138508,0.0012939845641492852,0.000189170734274172,9,9,19,19
identity,0.1954923148470287,0.08582559047957662,0.0,0.0,0,0,19,19
homo_soft,0.1932772392184312,0.0846583848404242,-0.002215075628597518,-0.0011672056391524106,9,9,19,19
despec+bilateral+unsharp,0.18953706919617958,0.08623367325620394,-0.005955245650849174,0.000408082776627329,9,10,19,19
homo+morphgrad,0.17760516221879738,0.09230025076892807,-0.017887152628231318,0.006474660289351459,6,10,19,19
homo_soft+morphgrad,0.1735218929166856,0.09168923034105833,-0.02197042193034309,0.005863639861481724,10,11,19,19
despec+tophat,0.164779584809954,0.09182326282481083,-0.030712730037074712,0.005997672345234213,6,10,19,19
bilateral+morphgrad,0.16358237226134456,0.08534203238261029,-0.031909942585684144,-0.00048355809696633463,8,6,19,19
clahe+despec+sobel,0.15881126845396826,0.09789109331322814,-0.03668104639306045,0.01206550283365151,4,10,19,19
clahe+despec+morphgrad,0.15815819199731695,0.09887955764889167,-0.03733412284971179,0.013053967169315029,5,12,19,19
homo+sobel,0.13556164983562233,0.07392043045907605,-0.059930665011406474,-0.01190516002050055,3,5,19,19
despec+homo+sobel,0.12968515394030136,0.0672495047778824,-0.06580716090672734,-0.018576085701694205,2,7,19,19
