checkpoint,distribution,answer_format,delta,ci_low,ci_high,n,n_videos,wins_b,wins_a,excludes_zero
checkpoint-860,ID,ALL,-0.04973544973544974,-0.07179783950617283,-0.029204282407407404,2252,28,115,227,True
checkpoint-860,ID,number,-0.036318904024423386,-0.07914636573665233,0.00433069425521879,768,28,48,70,False
checkpoint-860,ID,fo_class,-0.05071948577094406,-0.0914348606630432,-0.01184380466598786,920,28,41,89,True
checkpoint-860,OOD,ALL,-0.027499999999999997,-0.054256250000000006,0.003999999999999999,4000,10,268,378,False
checkpoint-860,OOD,number,0.00679980134622116,-0.03527276106457128,0.05637609149612674,1326,10,120,109,False
checkpoint-860,OOD,fo_class,-0.04474716873052044,-0.07816608663376902,-0.012261842401137774,1755,10,97,174,True
checkpoint-1720,ID,ALL,-0.012020502645502645,-0.02888599537037037,0.005676945546737213,2252,28,104,131,False
checkpoint-1720,ID,number,-0.007583260261353233,-0.039073658304060704,0.024984175914532385,768,28,36,44,False
checkpoint-1720,ID,fo_class,-0.005572754878932275,-0.03465763241209564,0.023358669729190002,920,28,50,55,False
checkpoint-1720,OOD,ALL,0.00775,-0.00375,0.019506250000000027,4000,10,229,198,False
checkpoint-1720,OOD,number,0.006681743330515558,-0.018103565367697173,0.031399881476709864,1326,10,85,76,False
checkpoint-1720,OOD,fo_class,0.016579048259073904,-0.000534865292484682,0.035838289713474566,1755,10,113,84,False
checkpoint-2580,ID,ALL,-0.00884589947089947,-0.02660976080246913,0.008857473544973547,2252,28,119,139,False
checkpoint-2580,ID,number,-0.0072505303520861,-0.0394393728374809,0.02593981394478365,768,28,46,50,False
checkpoint-2580,ID,fo_class,0.0007890297566913263,-0.0262743891356423,0.029227949673509723,920,28,56,53,False
checkpoint-2580,OOD,ALL,-0.002250000000000001,-0.021,0.016250000000000004,4000,10,260,269,False
checkpoint-2580,OOD,number,0.0014790975429874995,-0.028424655835156076,0.031722986175592105,1326,10,93,96,False
checkpoint-2580,OOD,fo_class,0.0039592952820779945,-0.031335293258712885,0.03579770207372445,1755,10,138,122,False
