model,distribution,answer_format,n,n_absent,n_present,emit_rate_absent,emit_rate_present,acc_absent,acc_present,hmean,unparseable,sdk_invalid
base,ID,number,240,120,120,0.9417,0.7667,0.9417,0.2333,0.3740,0.0000,0.0000
base,ID,binary,240,120,120,0.9500,0.7750,0.9500,0.2250,0.3638,0.0000,0.0000
base,OOD,number,240,120,120,0.9167,0.8833,0.9167,0.1167,0.2070,0.0000,0.0000
base,OOD,binary,240,120,120,0.9417,0.9000,0.9417,0.1000,0.1808,0.0000,0.0000
ft,ID,number,240,120,120,0.0083,0.0000,0.0083,1.0000,0.0165,0.0000,0.8667
ft,ID,binary,240,120,120,0.8167,0.1000,0.8167,0.9000,0.8563,0.0000,0.0583
ft,OOD,number,240,120,120,0.0167,0.0000,0.0167,1.0000,0.0328,0.0000,0.8750
ft,OOD,binary,240,120,120,0.8250,0.1167,0.8250,0.8833,0.8532,0.0000,0.1458
base,POOLED,ALL,960,480,480,0.9375,0.8313,0.9375,0.1688,0.2861,0.0000,0.0000
ft,POOLED,ALL,960,480,480,0.4167,0.0542,0.4167,0.9458,0.5785,0.0000,0.4865
