"img","frame_key","distribution","video_id","gold","detector_n_clip","human","delta"
"000.jpg","lapchole__0019_Laparoscopic_Cholecystectomy_mp4__41100.jpg","ID","0019 - Laparoscopic Cholecystectomy.mp4","5","0","1","-4"
"001.jpg","heico__0023_Heico_Sigma_4_avi__107375.jpg","OOD","0023 - Heico - Sigma - 4.avi","8","0","2","-6"
"002.jpg","lapchole__0078_Laparoscopic_Cholecystectomy_mp4__74160.jpg","ID","0078 - Laparoscopic Cholecystectomy.mp4","6","0","2","-4"
"003.jpg","lapchole__0079_Laparoscopic_Cholecystectomy_mp4__12930.jpg","ID","0079 - Laparoscopic Cholecystectomy.mp4","9","4","3","-6"
"004.jpg","heico__0022_Heico_Sigma_3_avi__167000.jpg","OOD","0022 - Heico - Sigma - 3.avi","2","0","0","-2"
"005.jpg","lapchole__0004_Laparoscopic_Cholecystectomy_mp4__26160.jpg","ID","0004 - Laparoscopic Cholecystectomy.mp4","5","0","1","-4"
"006.jpg","lapchole__0100_Laparoscopic_Cholecystectomy_mp4__19860.jpg","ID","0100 - Laparoscopic Cholecystectomy.mp4","5","6","2","-3"
"007.jpg","heico__0023_Heico_Sigma_4_avi__110375.jpg","OOD","0023 - Heico - Sigma - 4.avi","10","0","3","-7"
"008.jpg","heico__0027_Heico_Sigma_8_avi__63025.jpg","OOD","0027 - Heico - Sigma - 8.avi","2","2","0","-2"
"009.jpg","lapchole__0078_Laparoscopic_Cholecystectomy_mp4__73350.jpg","ID","0078 - Laparoscopic Cholecystectomy.mp4","7","0","3","-4"
"010.jpg","heico__0021_Heico_Sigma_2_avi__37425.jpg","OOD","0021 - Heico - Sigma - 2.avi","2","1","0","-2"
"011.jpg","heico__0021_Heico_Sigma_2_avi__37525.jpg","OOD","0021 - Heico - Sigma - 2.avi","1","1","1","0"
"012.jpg","heico__0023_Heico_Sigma_4_avi__110325.jpg","OOD","0023 - Heico - Sigma - 4.avi","9","2","1","-8"
"013.jpg","lapchole__0149_Laparoscopic_Cholecystectomy_mp4__17040.jpg","ID","0149 - Laparoscopic Cholecystectomy.mp4","4","2","0","-4"
"014.jpg","lapchole__0033_Laparoscopic_Cholecystectomy_mp4__53640.jpg","ID","0033 - Laparoscopic Cholecystectomy.mp4","3","2","1","-2"
"015.jpg","heico__0023_Heico_Sigma_4_avi__110000.jpg","OOD","0023 - Heico - Sigma - 4.avi","10","0","3","-7"
"016.jpg","heico__0023_Heico_Sigma_4_avi__109325.jpg","OOD","0023 - Heico - Sigma - 4.avi","11","5","5","-6"
"017.jpg","heico__0028_Heico_Sigma_9_avi__243150.jpg","OOD","0028 - Heico - Sigma - 9.avi","4","0","0","-4"
"018.jpg","heico__0023_Heico_Sigma_4_avi__109975.jpg","OOD","0023 - Heico - Sigma - 4.avi","12","0","4","-8"
"019.jpg","heico__0023_Heico_Sigma_4_avi__102725.jpg","OOD","0023 - Heico - Sigma - 4.avi","4","0","1","-3"
"020.jpg","lapchole__0074_Laparoscopic_Cholecystectomy_mp4__53640.jpg","ID","0074 - Laparoscopic Cholecystectomy.mp4","8","0","4","-4"
"021.jpg","heico__0026_Heico_Sigma_7_avi__160025.jpg","OOD","0026 - Heico - Sigma - 7.avi","2","1","0","-2"
"022.jpg","lapchole__0017_Laparoscopic_Cholecystectomy_mp4__32550.jpg","ID","0017 - Laparoscopic Cholecystectomy.mp4","6","2","2","-4"
"023.jpg","heico__0028_Heico_Sigma_9_avi__251550.jpg","OOD","0028 - Heico - Sigma - 9.avi","2","0","0","-2"
"024.jpg","heico__0022_Heico_Sigma_3_avi__165000.jpg","OOD","0022 - Heico - Sigma - 3.avi","1","3","0","-1"
"025.jpg","heico__0023_Heico_Sigma_4_avi__110275.jpg","OOD","0023 - Heico - Sigma - 4.avi","11","0","5","-6"
"026.jpg","heico__0023_Heico_Sigma_4_avi__100675.jpg","OOD","0023 - Heico - Sigma - 4.avi","5","0","1","-4"
"027.jpg","heico__0023_Heico_Sigma_4_avi__110425.jpg","OOD","0023 - Heico - Sigma - 4.avi","10","0","4","-6"
"028.jpg","lapchole__0016_Laparoscopic_Cholecystectomy_mp4__59580.jpg","ID","0016 - Laparoscopic Cholecystectomy.mp4","7","0","4","-3"
"029.jpg","lapchole__0089_Laparoscopic_Cholecystectomy_mp4__76860.jpg","ID","0089 - Laparoscopic Cholecystectomy.mp4","2","0","0","-2"
"030.jpg","lapchole__0079_Laparoscopic_Cholecystectomy_mp4__12030.jpg","ID","0079 - Laparoscopic Cholecystectomy.mp4","7","7","2","-5"
"031.jpg","lapchole__0066_Laparoscopic_Cholecystectomy_mp4__390.jpg","ID","0066 - Laparoscopic Cholecystectomy.mp4","1","2","0","-1"
"032.jpg","heico__0023_Heico_Sigma_4_avi__110450.jpg","OOD","0023 - Heico - Sigma - 4.avi","6","1","3","-3"
"033.jpg","heico__0026_Heico_Sigma_7_avi__176450.jpg","OOD","0026 - Heico - Sigma - 7.avi","2","0","2","0"
"034.jpg","lapchole__0017_Laparoscopic_Cholecystectomy_mp4__36060.jpg","ID","0017 - Laparoscopic Cholecystectomy.mp4","8","1","1","-7"
"035.jpg","heico__0023_Heico_Sigma_4_avi__105150.jpg","OOD","0023 - Heico - Sigma - 4.avi","8","0","2","-6"
"036.jpg","heico__0026_Heico_Sigma_7_avi__177900.jpg","OOD","0026 - Heico - Sigma - 7.avi","3","2","2","-1"
"037.jpg","heico__0023_Heico_Sigma_4_avi__110350.jpg","OOD","0023 - Heico - Sigma - 4.avi","9","0","4","-5"
"038.jpg","heico__0023_Heico_Sigma_4_avi__107100.jpg","OOD","0023 - Heico - Sigma - 4.avi","7","2","3","-4"
"039.jpg","heico__0023_Heico_Sigma_4_avi__109125.jpg","OOD","0023 - Heico - Sigma - 4.avi","7","1","3","-4"
"040.jpg","lapchole__0066_Laparoscopic_Cholecystectomy_mp4__3300.jpg","ID","0066 - Laparoscopic Cholecystectomy.mp4","4","0","0","-4"
"041.jpg","lapchole__0079_Laparoscopic_Cholecystectomy_mp4__12300.jpg","ID","0079 - Laparoscopic Cholecystectomy.mp4","8","4","2","-6"
"042.jpg","heico__0028_Heico_Sigma_9_avi__245100.jpg","OOD","0028 - Heico - Sigma - 9.avi","4","2","0","-4"
"043.jpg","heico__0027_Heico_Sigma_8_avi__163775.jpg","OOD","0027 - Heico - Sigma - 8.avi","3","0","0","-3"
"044.jpg","lapchole__0045_Laparoscopic_Cholecystectomy_mp4__26040.jpg","ID","0045 - Laparoscopic Cholecystectomy.mp4","1","0","0","-1"
"045.jpg","lapchole__0149_Laparoscopic_Cholecystectomy_mp4__22740.jpg","ID","0149 - Laparoscopic Cholecystectomy.mp4","3","5","0","-3"
