comparison,cell,n,videos,delta,ci_low,ci_high,excludes_0
19b ep2 - ep1,aggregation_ID,955,28,-0.0235,-0.0667,0.0188,False
19b ep2 - ep1,object_recognition_ID,1296,28,-0.0129,-0.0536,0.0277,False
19b ep2 - ep1,temporal_grounding_ID,1,1,0.0,0.0,0.0,False
19b ep2 - ep1,ALL_ID,2252,28,-0.0183,-0.0458,0.0082,False
19b ep2 - ep1,aggregation_OOD,1875,10,-0.0918,-0.1438,-0.0405,True
19b ep2 - ep1,object_recognition_OOD,2125,10,-0.0613,-0.1185,-0.0102,True
19b ep2 - ep1,temporal_grounding_OOD,0,0,,,,False
19b ep2 - ep1,ALL_OOD,4000,10,-0.0777,-0.1175,-0.0385,True
19b ep3 - ep2,aggregation_ID,955,28,-0.0501,-0.0964,-0.0011,True
19b ep3 - ep2,object_recognition_ID,1296,28,-0.0947,-0.1341,-0.057,True
19b ep3 - ep2,temporal_grounding_ID,1,1,0.0,0.0,0.0,False
19b ep3 - ep2,ALL_ID,2252,28,-0.071,-0.1007,-0.0408,True
19b ep3 - ep2,aggregation_OOD,1875,10,0.009,-0.0516,0.0617,False
19b ep3 - ep2,object_recognition_OOD,2125,10,-0.0192,-0.0753,0.052,False
19b ep3 - ep2,temporal_grounding_OOD,0,0,,,,False
19b ep3 - ep2,ALL_OOD,4000,10,-0.0055,-0.061,0.0503,False
19b ep4 - ep3,aggregation_ID,955,28,-0.0278,-0.0808,0.0216,False
19b ep4 - ep3,object_recognition_ID,1296,28,-0.0225,-0.0487,0.0039,False
19b ep4 - ep3,temporal_grounding_ID,1,1,-1.0,-1.0,-1.0,True
19b ep4 - ep3,ALL_ID,2252,28,-0.0258,-0.0551,0.0027,False
19b ep4 - ep3,aggregation_OOD,1875,10,0.0028,-0.0314,0.0412,False
19b ep4 - ep3,object_recognition_OOD,2125,10,-0.0147,-0.0395,0.0138,False
19b ep4 - ep3,temporal_grounding_OOD,0,0,,,,False
19b ep4 - ep3,ALL_OOD,4000,10,-0.007,-0.0328,0.0265,False
19b ep5 - ep4,aggregation_ID,955,28,-0.0022,-0.0298,0.0281,False
19b ep5 - ep4,object_recognition_ID,1296,28,0.01,-0.0121,0.0331,False
19b ep5 - ep4,temporal_grounding_ID,1,1,1.0,1.0,1.0,True
19b ep5 - ep4,ALL_ID,2252,28,0.0022,-0.016,0.0217,False
19b ep5 - ep4,aggregation_OOD,1875,10,-0.0185,-0.0447,0.0054,False
19b ep5 - ep4,object_recognition_OOD,2125,10,-0.0135,-0.0386,0.0097,False
19b ep5 - ep4,temporal_grounding_OOD,0,0,,,,False
19b ep5 - ep4,ALL_OOD,4000,10,-0.0162,-0.0382,0.0053,False
