epoch,cell,n,videos,delta,ci_low,ci_high,excludes_0,wins_arm,wins_ctrl
1,ALL,6252,38,0.02534275503573749,0.005227318875893437,0.045414717348927824,True,754,495
1,ID,2252,28,0.014125881834215167,-0.009443479938271606,0.03895006613756613,False,226,194
1,OOD,4000,10,0.05674999999999999,0.019487499999999998,0.0915,True,528,301
1,number ID,768,28,0.014910745691901928,-0.02055023388407441,0.0513249968271993,False,64,53
1,number OOD,1326,10,0.03670252785938171,0.007160674726449749,0.07085990527114347,True,130,87
1,fo_class ID,920,28,-0.0073392720207270095,-0.05319238846775775,0.032406652295885637,False,86,93
1,fo_class OOD,1755,10,0.07915184917946613,0.02329791340264469,0.12768553631707957,True,275,130
1,binary ID,176,27,0.04325396825396826,-0.0558641975308642,0.14973875661375657,False,23,14
1,binary OOD,548,10,0.03568628739681371,-0.07171049181082075,0.1252112974744553,False,76,60
1,open_ended OOD,259,10,0.03409312023573484,-0.03988904078377763,0.10994306526806522,False,29,19
2,ALL,6252,38,0.06576267056530213,0.046750426413255365,0.0845016447368421,True,761,307
2,ID,2252,28,0.0609457671957672,0.03587976741622574,0.08616622574955905,True,261,124
2,OOD,4000,10,0.07925,0.062250000000000014,0.09849999999999999,True,500,183
2,number ID,768,28,0.05620927783716197,0.007464949404742405,0.11188521922735495,True,94,48
2,number OOD,1326,10,0.05306205559718639,0.024168608420422857,0.08525779240307826,True,142,73
2,fo_class ID,920,28,0.06636407533879349,0.027733751847405806,0.10557565449771239,True,116,50
2,fo_class OOD,1755,10,0.09308329678128359,0.06967188984544123,0.11707120923305026,True,241,81
2,binary ID,176,27,0.06944444444444445,0.0015432098765432107,0.15123456790123455,True,15,5
2,binary OOD,548,10,0.10165571270834428,0.0459035553262527,0.16677770091750346,True,74,19
2,open_ended OOD,259,10,0.10935664335664337,0.046335612774322445,0.18350909815990446,True,31,6
3,ALL,6252,38,0.053936809616634177,0.03267405782975958,0.07637355831708902,True,794,404
3,ID,2252,28,0.04802138447971781,0.02052455357142857,0.07677689594356259,True,277,169
3,OOD,4000,10,0.0705,0.049,0.09000624999999998,True,517,235
3,number ID,768,28,0.06074950145735737,0.004386736707670337,0.1249029206661026,True,112,73
3,number OOD,1326,10,0.032985763009904426,-0.008544746425112163,0.06968401339026417,False,164,116
3,fo_class ID,920,28,0.031370979028575566,-0.012287111568122523,0.07335389192978146,False,102,65
3,fo_class OOD,1755,10,0.09423013962263492,0.06131570479528775,0.12804023694596464,True,256,90
3,binary ID,176,27,0.045326278659611995,-0.042113095238095234,0.1379783950617283,False,14,8
3,binary OOD,548,10,0.06600883765357449,0.02426260964912281,0.10941517364214728,True,54,20
3,open_ended OOD,259,10,0.09585257752999687,0.04464299678815807,0.15427720612720608,True,30,6
