epoch,cell,n,videos,delta,ci_low,ci_high,excludes_0,wins_arm,wins_ctrl
1,ALL,6252,38,-0.0011963937621832352,-0.02173448667966212,0.01946016081871344,False,597,595
1,ID,2252,28,-0.002248677248677249,-0.030839671516754853,0.02347911155202822,False,212,217
1,OOD,4000,10,0.0017500000000000016,-0.026750000000000003,0.03800624999999997,False,385,378
1,number ID,768,28,0.0019372816119750842,-0.040445909336494834,0.048542308163666975,False,61,68
1,number OOD,1326,10,-0.01718377509571651,-0.05596488345336721,0.02157406846710866,False,99,113
1,fo_class ID,920,28,0.017013817394903503,-0.028122124478203118,0.0602032676312313,False,91,71
1,fo_class OOD,1755,10,0.007976162650953102,-0.026823446852661127,0.04030501624897968,False,177,161
1,binary ID,176,27,-0.047619047619047616,-0.14643298059964724,0.04992063492063488,False,14,24
1,binary OOD,548,10,-0.012323159296843505,-0.12949710979809667,0.12370259017298484,False,76,79
1,open_ended OOD,259,10,0.03246798532537072,-0.04107461535352028,0.10477126099706742,False,27,16
2,ALL,6252,38,0.0019915529564652357,-0.020113121345029236,0.022469948018193592,False,457,493
2,ID,2252,28,0.007434964726631391,-0.019235008818342145,0.03357707782186948,False,199,182
2,OOD,4000,10,-0.013250000000000003,-0.048,0.017249999999999998,False,258,311
2,number ID,768,28,-0.002204659290069561,-0.05053586004388356,0.04388926283529957,False,77,79
2,number OOD,1326,10,-0.03067479670815327,-0.06990288246632663,0.005632595042482602,False,96,138
2,fo_class ID,920,28,-0.0008039172073218177,-0.0381650909707256,0.03815154626720989,False,61,63
2,fo_class OOD,1755,10,-0.024253958951723727,-0.06715535251084248,0.0159194673332278,False,101,137
2,binary ID,176,27,0.018518518518518517,-0.06172839506172839,0.10648148148148148,False,14,10
2,binary OOD,548,10,0.02520608777187725,-0.02761231367316893,0.08008824837443257,False,35,21
2,open_ended OOD,259,10,0.01669848600748431,-0.04724397905433559,0.073900142585202,False,18,11
3,ALL,6252,38,0.021087556855100716,0.0037161915204678366,0.039069058641975296,True,498,375
3,ID,2252,28,0.02210097001763669,-0.001710345017636684,0.04485229276895941,False,201,151
3,OOD,4000,10,0.018250000000000002,0.0017375000000000012,0.03525,True,297,224
3,number ID,768,28,0.005096611282305287,-0.04340754392425898,0.05026414896021626,False,88,78
3,number OOD,1326,10,0.006963048589315071,-0.02475050290118924,0.04070610094120532,False,126,111
3,fo_class ID,920,28,0.03885177632975956,0.005138553411970239,0.07170772807196797,True,76,44
3,fo_class OOD,1755,10,0.020673175700442355,-0.0028529555496732,0.043262436586295513,False,126,85
3,binary ID,176,27,0.0015432098765432107,-0.05401234567901234,0.06018518518518518,False,7,7
3,binary OOD,548,10,0.012849387454650613,-0.024295986360131097,0.04824150903920638,False,28,20
3,open_ended OOD,259,10,0.031989732395504886,-0.00324162826420891,0.07278790120462447,False,10,4
