epoch,cell,n,videos,delta,ci_low,ci_high,excludes_0,wins_arm,wins_ctrl
1,ALL,6252,38,-0.006473359324236516,-0.03201809210526315,0.020066276803118878,False,651,643
1,ID,2252,28,-0.011910273368606701,-0.041282379850088195,0.0168169918430335,False,204,231
1,OOD,4000,10,0.008750000000000003,-0.0345,0.06851249999999993,False,447,412
1,number ID,768,28,-0.034923004104976854,-0.07517022052562582,0.010139090286490264,False,48,83
1,number OOD,1326,10,-0.03290210142036458,-0.07975327897787984,0.016227750416773483,False,98,127
1,fo_class ID,920,28,0.004853416552996619,-0.0392798743057395,0.05046578900566606,False,94,87
1,fo_class OOD,1755,10,0.039417847523974446,-0.022461102620231665,0.11367725705211744,False,247,169
1,binary ID,176,27,-0.033377425044091705,-0.1389164462081129,0.06914351851851848,False,18,26
1,binary OOD,548,10,-0.06497563839669103,-0.16419642473754315,0.05636334060676163,False,66,98
1,open_ended OOD,259,10,0.06278006204321994,-0.00343531379486388,0.1330239348370927,False,28,11
2,ALL,6252,38,0.006868908382066277,-0.017653082358674466,0.031439550844704324,False,521,470
2,ID,2252,28,0.006018518518518518,-0.02650600749559082,0.04092964616402115,False,209,195
2,OOD,4000,10,0.00925,-0.02175,0.03675,False,312,275
2,number ID,768,28,0.013551949379967804,-0.05481696854392483,0.08454511985285569,False,106,91
2,number OOD,1326,10,0.002366761434328826,-0.03922474304354074,0.050255121867456745,False,120,124
2,fo_class ID,920,28,-0.032117596176170056,-0.07607685484883552,0.014313463647960434,False,56,80
2,fo_class OOD,1755,10,0.020097900551153368,-0.01982597282424682,0.06259271091849057,False,141,92
2,binary ID,176,27,0.030864197530864203,-0.06944444444444445,0.12499999999999999,False,16,9
2,binary OOD,548,10,0.001637178610862821,-0.05970632547277284,0.05773264290534025,False,33,33
2,open_ended OOD,259,10,-0.04655649896227146,-0.1278552230876085,0.025130580483466735,False,12,22
3,ALL,6252,38,0.019669428200129947,-4.956546458739708e-05,0.039358938434048085,False,532,422
3,ID,2252,28,0.021158509700176364,-0.00386381172839506,0.04677110890652557,False,219,171
3,OOD,4000,10,0.0155,-0.00825,0.039749999999999994,False,313,251
3,number ID,768,28,-0.013551843237267788,-0.0700779128213989,0.03773557071458536,False,101,100
3,number OOD,1326,10,0.023466453013157834,-0.015039175508096124,0.06344018080667073,False,137,114
3,fo_class ID,920,28,0.03298911333863939,-0.0032911647329926996,0.07011399669691479,False,81,50
3,fo_class OOD,1755,10,0.016141866302262976,-0.018828678574626674,0.047807734462205424,False,126,88
3,binary ID,176,27,0.03152557319223986,-0.029320987654320986,0.0992063492063492,False,12,6
3,binary OOD,548,10,-0.010829258460837411,-0.06696278830818306,0.0454715240899451,False,33,36
3,open_ended OOD,259,10,0.017465534465534463,-0.0262300001922243,0.0681029114207806,False,11,9
