bucket,rung00_zeroshot_8B_gen3,rung23a_zeroshot_27B_gen36,delta_generation,rung06ep3_finetuned_8B,delta_finetuning
bucket_mean,0.2557,0.2913,0.0356,0.5724,0.3167
acc_ID,,0.2704,,0.5595,
acc_OOD,,0.3230,,0.6045,
aggregation_ID,0.1885,0.1937,0.0052,0.4346,0.2461
aggregation_OOD,0.3003,0.3136,0.0133,0.5547,0.2544
object_recognition_ID,0.2932,0.3264,0.0332,0.6520,0.3588
object_recognition_OOD,0.2409,0.3313,0.0904,0.6485,0.4076
n_questions,6252,6252,,6252,
latency_mean_s,,0.5853,,0.79,
latency_p99_s,,0.8512,,,
latency_max_s,,1.2947,,,
weights_gb_bf16,17.5,55.6,,17.5,
weights_gb_fp8,,30.9,,,
fits_48gb_eval_gpu,yes,fp8_only,,yes,
