qID,p_clip_real,p_clip_degraded,delta
heico__2044999,0.49721187353134155,0.8763194680213928,0.37910759449005127
heico__2045070,0.4990038275718689,0.8796695470809937,0.38066571950912476
heico__2045176,0.9753877520561218,0.8097242712974548,-0.165663480758667
heico__2041362,0.9238905310630798,0.802080512046814,-0.12181001901626587
heico__2045359,0.6462450623512268,0.794662594795227,0.14841753244400024
heico__2045379,0.5919032096862793,0.9964534044265747,0.4045501947402954
heico__2041574,0.985092043876648,0.9446858167648315,-0.040406227111816406
heico__2079844,0.8249300122261047,0.7686001062393188,-0.05632990598678589
heico__2045440,0.7716218829154968,0.6588528156280518,-0.11276906728744507
heico__2079845,0.8804222345352173,0.6934605240821838,-0.18696171045303345
heico__2045457,0.44663092494010925,0.7479113340377808,0.3012804090976715
heico__2045458,0.7524721026420593,0.6191211342811584,-0.13335096836090088
heico__2031412,0.9032678604125977,0.8159452676773071,-0.08732259273529053
heico__2045462,0.5454075336456299,0.5543748736381531,0.008967339992523193
heico__2031418,0.9340212345123291,0.9810438752174377,0.04702264070510864
heico__2045465,0.7578336000442505,0.8302174210548401,0.0723838210105896
heico__2045175,0.6449233889579773,0.9783754944801331,0.33345210552215576
heico__2079853,0.9454118013381958,0.9618719816207886,0.016460180282592773
heico__2041615,0.6396759152412415,0.6415700316429138,0.0018941164016723633
heico__2079723,0.9607090353965759,0.8533182144165039,-0.10739082098007202
heico__2045014,0.9664393067359924,0.990764319896698,0.024325013160705566
heico__2031426,0.6212427020072937,0.9217155575752258,0.30047285556793213
heico__2041224,0.8987813591957092,0.8872655034065247,-0.01151585578918457
heico__2045285,0.5292223691940308,0.7931216359138489,0.2638992667198181
heico__2041547,0.686760425567627,0.8984254002571106,0.21166497468948364
heico__2041302,0.5738914608955383,0.6107872128486633,0.036895751953125
heico__2045403,0.47723811864852905,0.8123551607131958,0.33511704206466675
heico__2041123,0.9600143432617188,0.9912372827529907,0.031222939491271973
heico__2045408,0.8721917271614075,0.9610413312911987,0.08884960412979126
heico__2079859,0.9813352227210999,0.9922308325767517,0.010895609855651855
heico__2031427,0.7037788033485413,0.8611465096473694,0.15736770629882812
heico__2031428,0.591048002243042,0.8897467851638794,0.2986987829208374
heico__2045466,0.471770316362381,0.9497449398040771,0.47797462344169617
heico__2045316,0.7960596084594727,0.8611841797828674,0.06512457132339478
heico__2031430,0.9618154764175415,0.9505478739738464,-0.011267602443695068
heico__2045450,0.8269698619842529,0.9918549656867981,0.16488510370254517
heico__2079865,0.5180901288986206,0.9687617421150208,0.45067161321640015
heico__2079866,0.862677812576294,0.9197207093238831,0.05704289674758911
heico__2045305,0.8641438484191895,0.10457754135131836,-0.7595663070678711
