arm,layer,visual_mass
base,0,0.032937
base,1,0.015547
base,2,0.036462
base,3,0.020604
base,4,0.041832
base,5,0.026257
base,6,0.024725
base,7,0.017534
base,8,0.059308
base,9,0.022613
base,10,0.032769
base,11,0.015388
base,12,0.042768
base,13,0.024961
base,14,0.030923
base,15,0.035192
base,16,0.050013
base,17,0.076261
base,18,0.133767
base,19,0.110745
base,20,0.07748
base,21,0.185997
base,22,0.116332
base,23,0.129067
base,24,0.115548
base,25,0.047776
base,26,0.04978
base,27,0.054112
base,28,0.055772
base,29,0.02848
base,30,0.023442
base,31,0.029498
base,32,0.023106
base,33,0.024691
base,34,0.030037
base,35,0.027387
rung02,0,0.032861
rung02,1,0.015615
rung02,2,0.036581
rung02,3,0.022664
rung02,4,0.048426
rung02,5,0.029024
rung02,6,0.02631
rung02,7,0.018617
rung02,8,0.066939
rung02,9,0.029819
rung02,10,0.042594
rung02,11,0.019394
rung02,12,0.05443
rung02,13,0.046384
rung02,14,0.04041
rung02,15,0.046112
rung02,16,0.107441
rung02,17,0.140742
rung02,18,0.322706
rung02,19,0.215718
rung02,20,0.211241
rung02,21,0.321281
rung02,22,0.20709
rung02,23,0.258218
rung02,24,0.22163
rung02,25,0.083521
rung02,26,0.128744
rung02,27,0.107337
rung02,28,0.123731
rung02,29,0.069134
rung02,30,0.050937
rung02,31,0.05619
rung02,32,0.045729
rung02,33,0.046668
rung02,34,0.048755
rung02,35,0.029658
rung06,0,0.034078
rung06,1,0.018078
rung06,2,0.038033
rung06,3,0.025894
rung06,4,0.050055
rung06,5,0.030918
rung06,6,0.028533
rung06,7,0.016786
rung06,8,0.065663
rung06,9,0.026237
rung06,10,0.036217
rung06,11,0.018484
rung06,12,0.051632
rung06,13,0.037027
rung06,14,0.037271
rung06,15,0.045887
rung06,16,0.123225
rung06,17,0.147172
rung06,18,0.295136
rung06,19,0.187266
rung06,20,0.177973
rung06,21,0.315542
rung06,22,0.178369
rung06,23,0.241266
rung06,24,0.185059
rung06,25,0.05024
rung06,26,0.08824
rung06,27,0.065518
rung06,28,0.085724
rung06,29,0.030427
rung06,30,0.020926
rung06,31,0.0297
rung06,32,0.022503
rung06,33,0.024041
rung06,34,0.03127
rung06,35,0.026016
a2,0,0.035688
a2,1,0.015519
a2,2,0.044394
a2,3,0.025459
a2,4,0.065041
a2,5,0.032756
a2,6,0.026425
a2,7,0.017066
a2,8,0.08412
a2,9,0.037349
a2,10,0.068049
a2,11,0.066891
a2,12,0.090228
a2,13,0.087419
a2,14,0.093273
a2,15,0.123284
a2,16,0.173907
a2,17,0.248309
a2,18,0.383999
a2,19,0.264353
a2,20,0.35339
a2,21,0.475621
a2,22,0.285905
a2,23,0.365016
a2,24,0.251238
a2,25,0.101045
a2,26,0.168552
a2,27,0.095743
a2,28,0.154992
a2,29,0.086437
a2,30,0.044147
a2,31,0.055493
a2,32,0.038809
a2,33,0.054326
a2,34,0.061821
a2,35,0.042945
