arm,q,dataset,ood,gold,n_image_tokens,visual_mass_mean,visual_mass_last_layer,emb_norm_visual,emb_norm_text
base,0,lapchole,False,7,231,0.063723,0.028856,13.2943,1.5633
base,1,lapchole,False,3,231,0.08618,0.04313,13.4658,1.5633
base,2,lapchole,False,3,231,0.055121,0.026788,13.0434,1.5633
base,3,lapchole,False,6,231,0.056771,0.028247,13.6687,1.5633
base,4,lapchole,False,3,231,0.036203,0.02462,15.4212,1.5633
base,5,lapchole,False,1,231,0.038185,0.024219,14.2161,1.5633
base,6,heico,True,2,231,0.040357,0.02924,14.7929,1.5633
base,7,heico,True,2,231,0.046763,0.027094,14.6608,1.5633
base,8,heico,True,2,231,0.056643,0.023026,14.0961,1.5633
base,9,heico,True,1,231,0.037674,0.024413,15.1041,1.5633
base,10,heico,True,1,231,0.061239,0.025457,14.6128,1.5633
base,11,heico,True,2,231,0.044178,0.023555,14.469,1.5633
rung02,0,lapchole,False,7,231,0.094251,0.036992,13.2943,1.5633
rung02,1,lapchole,False,3,231,0.119217,0.048532,13.4658,1.5633
rung02,2,lapchole,False,3,231,0.10745,0.02965,13.0434,1.5633
rung02,3,lapchole,False,6,231,0.10403,0.039808,13.6687,1.5633
rung02,4,lapchole,False,3,231,0.089298,0.029782,15.4212,1.5633
rung02,5,lapchole,False,1,231,0.068817,0.022598,14.2161,1.5633
rung02,6,heico,True,2,231,0.080834,0.024602,14.7929,1.5633
rung02,7,heico,True,2,231,0.08307,0.027749,14.6608,1.5633
rung02,8,heico,True,2,231,0.098559,0.026034,14.0961,1.5633
rung02,9,heico,True,1,231,0.086792,0.020559,15.1041,1.5633
rung02,10,heico,True,1,231,0.098725,0.027645,14.6128,1.5633
rung02,11,heico,True,2,231,0.093173,0.021951,14.469,1.5633
rung06,0,lapchole,False,7,231,0.089832,0.034809,17.0348,1.5633
rung06,1,lapchole,False,3,231,0.095703,0.040318,17.7966,1.5633
rung06,2,lapchole,False,3,231,0.105588,0.02855,17.968,1.5633
rung06,3,lapchole,False,6,231,0.090049,0.034217,17.6576,1.5633
rung06,4,lapchole,False,3,231,0.069624,0.021,19.8393,1.5633
rung06,5,lapchole,False,1,231,0.054551,0.015351,18.8249,1.5633
rung06,6,heico,True,2,231,0.07588,0.02207,18.6315,1.5633
rung06,7,heico,True,2,231,0.080086,0.02794,19.296,1.5633
rung06,8,heico,True,2,231,0.083717,0.026174,18.0035,1.5633
rung06,9,heico,True,1,231,0.068247,0.018347,19.7209,1.5633
rung06,10,heico,True,1,231,0.080153,0.025866,18.8627,1.5633
rung06,11,heico,True,2,231,0.068706,0.017546,18.6099,1.5633
a2,0,lapchole,False,7,231,0.14009,0.042324,20.3326,1.5633
a2,1,lapchole,False,3,231,0.143084,0.069671,24.0808,1.5633
a2,2,lapchole,False,3,231,0.124043,0.052053,23.9326,1.5633
a2,3,lapchole,False,6,231,0.143832,0.051981,19.5289,1.5633
a2,4,lapchole,False,3,231,0.129906,0.046143,22.0414,1.5633
a2,5,lapchole,False,1,231,0.12956,0.03289,20.3074,1.5633
a2,6,heico,True,2,231,0.119563,0.034253,25.9755,1.5633
a2,7,heico,True,2,231,0.126619,0.039829,22.6738,1.5633
a2,8,heico,True,2,231,0.127145,0.033575,20.7521,1.5633
a2,9,heico,True,1,231,0.105065,0.036778,20.2059,1.5633
a2,10,heico,True,1,231,0.123387,0.047869,22.6667,1.5633
a2,11,heico,True,2,231,0.127378,0.027969,21.7213,1.5633
