qID,gold,dataset,greedy,greedy_legal,p_top1,margin_top2,gold_rank,value_mass,one_split_exact,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12
heico__1980141,5,heico,1,1,0.5762650161952275,0.2678118815537742,5,0.9999709437301469,True,0.00024821521947160363,0.5762482720834101,0.30844417214393616,0.07798689603805542,0.028689775615930557,0.006401555147022009,0.0014283799100667238,0.00021904916502535343,0.00024821521947160363,5.538429832085967e-05,7.421433292623862e-07,1.2115156928078186e-07,1.6559453798069192e-07
heico__1980186,2,heico,3,3,0.3290013576535157,0.07277483337009366,3,0.9999647008535248,False,2.3133501599659212e-05,0.06478191912174225,0.22611112892627716,0.32898974418640137,0.25621747970581055,0.10680732876062393,0.014454800635576248,0.0017263797344639897,0.0007196621736511588,0.00013312410737853497,0.0,0.0,0.0
heico__1980202,4,heico,2,2,0.3907316722363425,0.0,3,0.9999750338029116,False,0.00014852471940685064,0.05287846177816391,0.3907219171524048,0.3907219171524048,0.12684883177280426,0.03207240626215935,0.005573348607867956,0.0005874266498722136,0.0003562922647688538,6.590744305867702e-05,0.0,0.0,0.0
heico__1980233,3,heico,2,2,0.4878989630686314,0.25743180309121355,2,0.9999709502080805,False,0.00018545913917478174,0.13978134095668793,0.4878847897052765,0.23046046495437622,0.10886181145906448,0.02752457745373249,0.004221030510962009,0.0005712543497793376,0.0003926169883925468,8.760469063417986e-05,0.0,0.0,0.0
heico__1980260,3,heico,2,2,0.4433998092953622,0.13865585708464145,2,0.9999661413603462,False,6.60025398246944e-05,0.07704871892929077,0.4433847963809967,0.30473363399505615,0.12703187763690948,0.03639524057507515,0.009202157147228718,0.001099041081033647,0.0008559340494684875,0.0001487390254624188,0.0,0.0,0.0
heico__1980355,3,heico,2,2,0.5929527252053194,0.4004491535576069,2,0.9999693460376875,False,0.0005406863056123257,0.149917334318161,0.5929345488548279,0.19249767065048218,0.055151503533124924,0.007463944610208273,0.0011446329299360514,0.0001455237652407959,0.00013670690532308072,3.67941647709813e-05,0.0,0.0,0.0
heico__1980362,2,heico,3,3,0.3163187349449208,0.037168436574563604,2,0.9999713128854637,False,3.667065902845934e-05,0.07997560501098633,0.279142290353775,0.3163096606731415,0.21739624440670013,0.09062423557043076,0.013897676952183247,0.001659840694628656,0.0007840532925911248,0.00014503527199849486,0.0,0.0,0.0
heico__1980372,1,heico,2,2,0.3360645200181101,0.07433720931485462,4,0.9999455427605426,False,0.0001447493996238336,0.12362450361251831,0.3360462188720703,0.26171305775642395,0.17987258732318878,0.06617141515016556,0.024343106895685196,0.00423019751906395,0.003294481197372079,0.0005052250344306231,0.0,0.0,0.0
heico__1980396,2,heico,1,1,0.5857767582170084,0.2722322623473152,2,0.9999606051498183,True,0.0011307734530419111,0.5857536816293785,0.31353214383125305,0.06995847821235657,0.022712191566824913,0.005067775025963783,0.0012813342036679387,0.0002091720380121842,0.00023702297767158598,7.695009844610468e-05,7.543842032372856e-07,1.4854705030841288e-07,1.7918194831758406e-07
heico__1980401,4,heico,3,3,0.34734663191820636,0.07683281473729697,3,0.9999649128731107,False,0.00014961171837057918,0.032307133078575134,0.27050432562828064,0.34733444452285767,0.21066898107528687,0.0995129868388176,0.032307133078575134,0.0038585371803492308,0.003005031729117036,0.0003167280228808522,0.0,0.0,0.0
heico__1980405,2,heico,1,1,0.7054595268906358,0.47643008844849966,2,0.9999865687911651,True,4.1124021663563326e-05,0.7054500517164056,0.22902636229991913,0.0450979620218277,0.014641165733337402,0.004194763954728842,0.0010606024879962206,0.00020884502737317234,0.00020884502737317234,5.62098684895318e-05,4.291660878083883e-07,8.450781839548136e-08,1.2295814458766397e-07
heico__1980411,3,heico,2,2,0.41225259417161947,0.162208761839883,2,0.9999691577395424,False,0.0005469517782330513,0.10423056036233902,0.4122398793697357,0.2500361204147339,0.15165458619594574,0.055790599435567856,0.02052421309053898,0.0024512677919119596,0.0021632362622767687,0.0003317430382594466,0.0,0.0,0.0
heico__1980412,4,heico,2,2,0.5154134925604424,0.11400907730642758,3,0.9999780860944156,False,0.00022200564853847027,0.017636092379689217,0.5154021978378296,0.40139561891555786,0.0543229877948761,0.009439920075237751,0.00127755431458354,0.00011883105617016554,0.00013465322263073176,2.8224849302205257e-05,0.0,0.0,0.0
heico__1980420,1,heico,2,2,0.7320055548488161,0.5686730303959572,3,0.9999748956506664,False,0.0001314357650699094,0.06808540970087051,0.7319871783256531,0.16332842409610748,0.032161273062229156,0.0033897734247148037,0.0006674858741462231,9.033438982442021e-05,0.00010236228263238445,3.121872941846959e-05,0.0,0.0,0.0
heico__1980433,2,heico,2,2,0.3279791220548384,7.735457471977663e-06,1,0.9999719996255736,True,6.673151074210182e-05,0.32796220327574055,0.3279699385166168,0.19892382621765137,0.09396496415138245,0.03917042538523674,0.008740102872252464,0.0017210283549502492,0.0011828442802652717,0.0002639282320160419,4.265875536694537e-06,7.891076105787413e-07,9.518455723050916e-07
heico__1980482,2,heico,4,4,0.27362379180792645,0.03215166364465869,5,0.9999538283009315,False,2.7993242838419974e-05,0.037029240280389786,0.08882853388786316,0.1880500167608261,0.2736111581325531,0.24146097898483276,0.11405809223651886,0.037029240280389786,0.017491374164819717,0.002367200329899788,0.0,0.0,0.0
