qID,gold,a2,gold_rank,top1,n_cands,dataset
heico__1973640,Sponge,Clip,2,Clip,3,heico
heico__1973775,Sponge,Clip,2,Clip,3,heico
heico__1973790,Clip,Sponge,2,Sponge,3,heico
heico__1973933,Clip,Sponge,1,Clip,3,heico
heico__1975589,Sponge,Clip,1,Sponge,3,heico
heico__1975953,"Clip, Sponge",Sponge,2,Sponge,3,heico
heico__2004346,Sponge,Clip,2,Clip,3,heico
heico__2004381,Sponge,Clip,2,Clip,3,heico
heico__2004384,Sponge,Clip,2,Clip,3,heico
heico__2004415,Clip,Sponge,2,Sponge,3,heico
heico__2004419,Clip,Sponge,2,Sponge,3,heico
heico__2015580,Sponge,Clip,2,Clip,3,heico
heico__2015581,Sponge,Clip,2,Clip,3,heico
heico__2015582,Sponge,Clip,1,Sponge,3,heico
heico__2015585,Sponge,Clip,2,Clip,3,heico
heico__2031412,"Needle, Sponge","Clip, Needle",3,"Clip, Needle",5,heico
heico__2031418,"Needle, Sponge","Clip, Needle, Sponge",4,Clip,5,heico
heico__2031426,"Needle, Sponge","Clip, Needle, Sponge",2,"Clip, Needle, Sponge",5,heico
heico__2031427,"Needle, Sponge","Clip, Needle",2,"Clip, Needle",5,heico
heico__2031428,"Needle, Sponge","Clip, Needle, Sponge",2,"Clip, Needle, Sponge",5,heico
heico__2031430,"Needle, Sponge","Clip, Needle",3,"Clip, Needle",5,heico
heico__2041123,Needle,Clip,2,Clip,4,heico
heico__2041178,Needle,Sponge,2,Sponge,4,heico
heico__2041224,Needle,Clip,2,Clip,4,heico
heico__2041302,Needle,Clip,2,Clip,4,heico
heico__2041362,Sponge,Clip,2,Clip,3,heico
heico__2041547,Needle,Clip,2,Clip,4,heico
heico__2041574,Sponge,Clip,2,Clip,3,heico
heico__2041615,Needle,Clip,2,Clip,4,heico
heico__2044999,Needle,"Clip, Needle",1,Needle,5,heico
heico__2045014,Needle,Clip,4,Clip,4,heico
heico__2045036,"Needle, Sponge",Needle,2,Needle,5,heico
heico__2045070,Needle,"Clip, Needle",2,"Clip, Needle",5,heico
heico__2045175,Needle,"Clip, Needle",3,"Clip, Needle",5,heico
heico__2045176,Sponge,Clip,3,Clip,3,heico
heico__2045206,External drain,"Clip, External drain",3,"Clip, External drain",5,heico
heico__2045285,Needle,"Clip, Needle",2,"Clip, Needle",5,heico
heico__2045305,External drain,Clip,4,Clip,4,heico
heico__2045316,"Needle, Sponge","Clip, Needle",3,"Clip, Needle",5,heico
heico__2045359,Sponge,"Clip, Sponge",3,"Clip, Sponge",3,heico
heico__2045379,Sponge,"Clip, Sponge",3,"Clip, Sponge",3,heico
heico__2045403,Needle,"Clip, Needle",1,Needle,5,heico
heico__2045408,Needle,Clip,4,Clip,4,heico
heico__2045440,Sponge,Clip,2,Clip,3,heico
heico__2045450,Needle,"Clip, Needle",3,"Clip, Needle",5,heico
heico__2045457,Sponge,Clip,3,Clip,3,heico
heico__2045458,"Needle, Sponge","Clip, Needle",3,"Clip, Needle",5,heico
heico__2045462,"Needle, Sponge",Clip,4,Clip,4,heico
heico__2045465,"Needle, Sponge","Clip, Needle, Sponge",4,"Clip, Sponge",5,heico
heico__2045466,"Needle, Sponge",Clip,2,Clip,4,heico
heico__2045467,"Needle, Sponge",Needle,2,Needle,5,heico
heico__2079723,Needle,Clip,2,Clip,4,heico
heico__2079844,Sponge,Clip,2,Clip,3,heico
heico__2079845,Sponge,Clip,2,Clip,3,heico
heico__2079853,Needle,Clip,2,Clip,4,heico
heico__2079859,Needle,Clip,2,Clip,4,heico
heico__2079865,Needle,Clip,2,Clip,4,heico
