cell,n,videos,delta_27b_minus_A2,ci_low,ci_high,excludes_0,wins_27b,wins_A2
ALL,6252,38,-0.03338775178687459,-0.06416538742690056,-0.0026950942170240614,True,717,901
ID,2252,28,-0.03620480599647267,-0.08002411265432098,0.0020902226631393235,False,290,372
OOD,4000,10,-0.025500000000000002,-0.05650625000000001,0.0017562499999999694,False,427,529
binary_ID,176,27,-0.06794532627865961,-0.17592592592592593,0.03549382716049382,False,17,28
binary_OOD,548,10,0.0014721024589445636,-0.06011907062236009,0.05495570054945052,False,44,44
fo_class_ID,920,28,-0.0652003380123986,-0.1284275046398954,-0.0032489361383028423,True,109,173
fo_class_OOD,1755,10,-0.05168160060075304,-0.10098127343542018,0.0026687421979155095,False,172,268
multiple_choice_ID,90,21,-0.1221655328798186,-0.3384424603174603,0.08442351299494144,False,13,20
multiple_choice_OOD,112,9,-0.0734640309909127,-0.3162826744143949,0.14695263567575387,False,9,18
number_ID,768,28,-0.013675062944164002,-0.07242421875350055,0.04132034871470782,False,102,108
number_OOD,1326,10,0.010625724504553038,-0.07119178425386292,0.08573393774720166,False,180,171
open_ended_ID,298,28,0.019901255956928227,-0.081609883609621,0.11328663378230075,False,49,43
open_ended_OOD,259,10,-0.018491569550992307,-0.10798469322132309,0.07074537444728443,False,22,28
