kind,cell,n,A2_ep1,arm_27b,delta
bucket,aggregation · ID,955,0.3885,0.3707,-0.0178
bucket,aggregation · OOD,1875,0.5525,0.5573,0.0048
bucket,object_recognition · ID,1296,0.6088,0.5579,-0.0509
bucket,object_recognition · OOD,2125,0.6871,0.6348,-0.0522
bucket,temporal_grounding · ID,1,0.0,1.0,1.0
format,binary · ID,176,0.7614,0.6989,-0.0625
format,binary · OOD,548,0.7865,0.7865,0.0
format,fo_class · ID,920,0.6022,0.5326,-0.0696
format,fo_class · OOD,1755,0.6718,0.6171,-0.0547
format,multiple_choice · ID,90,0.7889,0.7111,-0.0778
format,multiple_choice · OOD,112,0.8304,0.75,-0.0804
format,number · ID,768,0.306,0.2982,-0.0078
format,number · OOD,1326,0.4563,0.463,0.0068
format,open_ended · ID,298,0.557,0.5772,0.0201
format,open_ended · OOD,259,0.7259,0.7027,-0.0232
headline,bucket_mean,6252,0.5592,0.5302,-0.029
headline,acc_ID,6252,0.5151,0.4787,-0.0364
headline,acc_OOD,6252,0.624,0.5985,-0.0255
headline,acc_overall,6252,0.5848,0.5553,-0.0294
