qID,video,ood,clinical,primary,answer_format,latency,timed_out,correctness
heico__2044974,0020 - Heico - Sigma - 1.avi,True,False,object_identification,fo_class,1.213318774010986,False,False
heico__2041134,0020 - Heico - Sigma - 1.avi,True,False,object_identification,fo_class,1.1429654220119119,False,True
heico__2041136,0020 - Heico - Sigma - 1.avi,True,False,object_identification,fo_class,1.0999904971104115,False,True
heico__2051824,0020 - Heico - Sigma - 1.avi,True,False,object_aggregation,number,1.0553932660259306,False,False
heico__2052326,0020 - Heico - Sigma - 1.avi,True,False,object_aggregation,number,1.055839414941147,False,True
heico__2054416,0020 - Heico - Sigma - 1.avi,True,False,object_aggregation,number,1.0429555498994887,False,False
heico__2044999,0020 - Heico - Sigma - 1.avi,True,False,object_identification,fo_class,1.0845882480498403,False,False
heico__2052335,0020 - Heico - Sigma - 1.avi,True,False,object_aggregation,number,1.0262172541115433,False,True
heico__2041161,0020 - Heico - Sigma - 1.avi,True,False,object_identification,fo_class,1.121225869981572,False,True
heico__2041164,0020 - Heico - Sigma - 1.avi,True,False,object_identification,fo_class,1.0525420340709388,False,True
heico__2041172,0020 - Heico - Sigma - 1.avi,True,False,object_identification,fo_class,1.1327351690270007,False,True
heico__2041175,0020 - Heico - Sigma - 1.avi,True,False,object_identification,fo_class,1.0932411951944232,False,True
heico__2072424,0020 - Heico - Sigma - 1.avi,True,False,spatial_localization_camera,open_ended,1.3296470430213958,False,True
heico__2072425,0020 - Heico - Sigma - 1.avi,True,False,spatial_localization_camera,open_ended,1.3063047148752958,False,True
heico__2052364,0020 - Heico - Sigma - 1.avi,True,False,object_aggregation,number,1.0431630299426615,False,True
heico__2060303,0020 - Heico - Sigma - 1.avi,True,False,object_aggregation,binary,1.169529901118949,False,True
heico__2045034,0020 - Heico - Sigma - 1.avi,True,False,object_identification,fo_class,1.0956275479402393,False,True
heico__2054454,0020 - Heico - Sigma - 1.avi,True,False,object_aggregation,number,1.0438833269290626,False,True
heico__2079739,0020 - Heico - Sigma - 1.avi,True,False,object_identification,fo_class,1.126949975034222,False,True
heico__2072432,0020 - Heico - Sigma - 1.avi,True,False,spatial_localization_camera,open_ended,1.3193965901155025,False,True
