arm,epoch,cell,n,illegal,macro_f1,exact_set_acc,ci
42_merged,1,pooled,490,0,0.8297,0.7571,"[0.779, 0.893]"
42_merged,1,ID,169,0,0.8354,0.7751,"[0.804, 0.909]"
42_merged,1,OOD,321,0,0.8168,0.7477,"[nan, nan]"
42_merged,2,pooled,490,0,0.8337,0.7653,"[0.778, 0.876]"
42_merged,2,ID,169,0,0.8596,0.7574,"[0.804, 0.881]"
42_merged,2,OOD,321,0,0.8532,0.7695,"[nan, nan]"
42_merged,3,pooled,490,0,0.8846,0.8082,"[0.853, 0.919]"
42_merged,3,ID,169,0,0.8932,0.858,"[0.858, 0.962]"
42_merged,3,OOD,321,0,0.8544,0.7819,"[nan, nan]"
42_merged,4,pooled,490,0,0.9117,0.8408,"[0.894, 0.930]"
42_merged,4,ID,169,0,0.9057,0.8757,"[0.885, 0.952]"
42_merged,4,OOD,321,0,0.8924,0.8224,"[nan, nan]"
42_merged,5,pooled,490,1,0.9069,0.8327,"[0.889, 0.935]"
42_merged,5,ID,169,0,0.9027,0.8876,"[0.878, 0.946]"
42_merged,5,OOD,321,1,0.8791,0.8037,"[nan, nan]"
A2 (control),1,pooled,490,0,0.772,0.6735,
A2 (control),1,ID,169,0,0.7874,0.6627,
A2 (control),1,OOD,321,0,0.7728,0.6791,
A2 (control),2,pooled,490,0,0.8471,0.749,
A2 (control),2,ID,169,0,0.8338,0.7633,
A2 (control),2,OOD,321,0,0.8185,0.7414,
A2 (control),3,pooled,490,0,0.867,0.798,
A2 (control),3,ID,169,0,0.8872,0.8166,
A2 (control),3,OOD,321,0,0.8629,0.7882,
