decile,size,mean,model
0.0,60,0.8667,r06
0.1,134,0.8731,r06
0.2,134,0.9179,r06
0.3,130,0.9846,r06
0.4,135,0.9926,r06
0.5,131,1.0,r06
0.6,135,0.9926,r06
0.7,130,0.9846,r06
0.8,134,1.0,r06
0.9,134,0.9925,r06
1.0,75,0.9733,r06
0.0,60,0.3333,a2
0.1,134,0.6418,a2
0.2,134,0.7761,a2
0.3,130,0.8308,a2
0.4,135,0.8963,a2
0.5,131,0.9771,a2
0.6,135,0.9556,a2
0.7,130,0.9615,a2
0.8,134,0.9925,a2
0.9,134,0.9776,a2
1.0,75,0.9867,a2
0.0,60,0.5667,r42
0.1,134,0.7388,r42
0.2,134,0.8657,r42
0.3,130,0.9231,r42
0.4,135,0.9407,r42
0.5,131,0.9771,r42
0.6,135,0.9704,r42
0.7,130,0.9538,r42
0.8,134,0.9851,r42
0.9,134,1.0,r42
1.0,75,1.0,r42
0.0,60,0.4667,r47
0.1,134,0.7313,r47
0.2,134,0.8731,r47
0.3,130,0.9231,r47
0.4,135,0.9259,r47
0.5,131,0.9771,r47
0.6,135,0.9259,r47
0.7,130,0.9538,r47
0.8,134,0.9851,r47
0.9,134,0.9925,r47
1.0,75,0.96,r47
