dropped,bag_f1_orders,bag_f1_r47_below_r42,macro_f1_orders,macro_f1_r47_below_r42,clip_f1_orders,clip_f1_r47_below_r42,set_size_orders,set_size_r47_below_r42,bag_f1_r06,bag_f1_a2,bag_f1_r42,bag_f1_r47
VID05,True,True,False,True,False,False,True,True,0.8467677573822826,0.8877126654064272,0.8988850442137639,0.8821705426356589
VID06,True,True,True,True,False,False,False,True,0.8692756036636137,0.897537728355838,0.914308811641067,0.8935128518971848
VID10,True,True,True,True,False,False,True,True,0.8417085427135678,0.8786677240285489,0.8923948220064725,0.8731130150958792
VID110,True,True,True,True,False,False,True,True,0.8390129259694477,0.8814814814814815,0.8919939577039275,0.8746666666666667
VID12,True,True,False,True,False,False,True,True,0.8420647149460709,0.8840262582056894,0.8937592867756314,0.8759835144248783
VID18,True,True,False,True,False,False,False,True,0.8466800804828973,0.8863463005339435,0.8970073843762146,0.8810641627543037
VID25,True,True,True,True,False,False,False,True,0.8419763168640261,0.8819444444444444,0.8940527766837338,0.8779714738510301
VID26,True,True,True,True,False,False,True,True,0.8476977567886659,0.8864059590316573,0.8974164133738602,0.8810707456978967
VID49,True,True,False,True,False,False,False,True,0.8633387888707037,0.9005032907471932,0.9066348827969806,0.8942959712804148
VID66,True,True,False,True,False,False,False,True,0.8437747819191118,0.8833020637898686,0.8947569843092231,0.8769764751253375
VID75,True,True,True,True,False,False,True,True,0.8350643955130868,0.8761755485893417,0.8874649579495394,0.8686868686868687
VID78,True,True,False,True,False,False,True,True,0.840498192044998,0.886354998099582,0.8930088837388953,0.8762645914396887
VID79,True,True,True,True,False,False,True,True,0.835720303285594,0.877526753864447,0.889967637540453,0.8707704851202609
VID92,True,True,False,True,False,False,False,True,0.8438751000800642,0.8838268792710706,0.8928433268858801,0.8757304246201792
VID96,True,True,False,True,False,False,True,True,0.8427672955974841,0.8822652757078988,0.8923426838514025,0.8751914241960184
