dropped,bag_f1_control,bag_f1_arm,delta,arm_wins
VID05,0.8988850442137639,0.9035418236623964,0.00465677944863252,True
VID06,0.914308811641067,0.9142176330420969,-9.117859897012082e-05,False
VID10,0.8923948220064725,0.896551724137931,0.004156902131458584,True
VID110,0.8919939577039275,0.8967813540510544,0.004787396347126882,True
VID12,0.8937592867756314,0.8983606557377048,0.0046013689620734155,True
VID18,0.8970073843762146,0.9004956157072054,0.003488231330990743,True
VID25,0.8940527766837338,0.9002695417789757,0.006216765095241827,True
VID26,0.8974164133738602,0.9003359462486002,0.002919532874740005,True
VID49,0.9066348827969806,0.9129082426127527,0.00627335981577215,True
VID66,0.8947569843092231,0.8991376077990251,0.004380623489801949,True
VID75,0.8874649579495394,0.8933333333333333,0.005868375383793922,True
VID78,0.8930088837388953,0.8989361702127661,0.005927286473870752,True
VID79,0.889967637540453,0.8957590170432025,0.005791379502749439,True
VID92,0.8928433268858801,0.8972317026924536,0.004388375806573475,True
VID96,0.8923426838514025,0.8969877277798437,0.004645043928441228,True
