arm,slice,n,acc,n_err,err_involving_clip_or_sponge,share_clip_or_sponge,strict_Clip_to_Sponge,strict_Sponge_to_Clip,pred_illegal,missed_a_class,added_a_class
19b_ep3,ALL,2675,0.7189,752,684,0.9096,67,48,0,125,176
19b_ep3,ID,920,0.6946,281,231,0.8221,12,4,0,82,64
19b_ep3,OOD,1755,0.7316,471,453,0.9618,55,44,0,43,112
19b_ep4,ALL,2675,0.748,674,611,0.9065,46,64,0,123,123
19b_ep4,ID,920,0.7228,255,211,0.8275,7,8,0,83,45
19b_ep4,OOD,1755,0.7613,419,400,0.9547,39,56,0,40,78
19b_ep5,ALL,2675,0.7544,657,582,0.8858,83,37,0,143,87
19b_ep5,ID,920,0.713,264,211,0.7992,10,6,0,91,36
19b_ep5,OOD,1755,0.7761,393,371,0.944,73,31,0,52,51
47_ep3,ALL,2675,0.7144,764,683,0.894,106,44,0,158,86
47_ep3,ID,920,0.7011,275,219,0.7964,8,3,0,94,33
47_ep3,OOD,1755,0.7214,489,464,0.9489,98,41,0,64,53
47_ep4,ALL,2675,0.7518,664,602,0.9066,71,44,0,139,83
47_ep4,ID,920,0.7196,258,207,0.8023,11,3,0,88,31
47_ep4,OOD,1755,0.7687,406,395,0.9729,60,41,0,51,52
47_ep5,ALL,2675,0.7499,669,599,0.8954,86,39,0,133,95
47_ep5,ID,920,0.7196,258,203,0.7868,12,3,0,85,37
47_ep5,OOD,1755,0.7658,411,396,0.9635,74,36,0,48,58
