qID,video,ood,clinical,primary,answer_format,latency,timed_out,correctness
heico__2250729,0023 - Heico - Sigma - 4.avi,True,False,object_identification,fo_class,1.1871100845746696,False,True
heico__2250729__flip,0023 - Heico - Sigma - 4.avi,True,False,object_identification,fo_class,0.505215598270297,False,True
heico__2244532,0023 - Heico - Sigma - 4.avi,True,False,spatial_localization_camera,open_ended,0.7084984867833555,False,True
heico__2244532__flip,0023 - Heico - Sigma - 4.avi,True,False,spatial_localization_camera,open_ended,0.7067089043557644,False,True
heico__2250767,0023 - Heico - Sigma - 4.avi,True,False,object_identification,fo_class,0.5043931538239121,False,True
heico__2250767__flip,0023 - Heico - Sigma - 4.avi,True,False,object_identification,fo_class,0.5069548487663269,False,True
heico__2244558,0023 - Heico - Sigma - 4.avi,True,False,spatial_localization_camera,open_ended,0.7099049282260239,False,True
heico__2244558__flip,0023 - Heico - Sigma - 4.avi,True,False,spatial_localization_camera,open_ended,0.9971550768241286,False,True
heico__2244559,0023 - Heico - Sigma - 4.avi,True,False,spatial_localization_camera,open_ended,0.7106171380728483,False,True
heico__2244559__flip,0023 - Heico - Sigma - 4.avi,True,False,spatial_localization_camera,open_ended,0.7099290979094803,False,True
heico__2250779,0023 - Heico - Sigma - 4.avi,True,False,object_identification,fo_class,0.5067118322476745,False,True
heico__2250779__flip,0023 - Heico - Sigma - 4.avi,True,False,object_identification,fo_class,0.5152239911258221,False,True
heico__2250791,0023 - Heico - Sigma - 4.avi,True,False,object_identification,fo_class,0.5190501930192113,False,True
heico__2250791__flip,0023 - Heico - Sigma - 4.avi,True,False,object_identification,fo_class,0.5077363806776702,False,True
heico__2244592,0023 - Heico - Sigma - 4.avi,True,False,spatial_localization_camera,open_ended,0.7172792237251997,False,False
heico__2244592__flip,0023 - Heico - Sigma - 4.avi,True,False,spatial_localization_camera,open_ended,0.7163299061357975,False,True
heico__2250726,0023 - Heico - Sigma - 4.avi,True,False,object_identification,fo_class,0.5056223403662443,False,False
heico__2250726__flip,0023 - Heico - Sigma - 4.avi,True,False,object_identification,fo_class,0.46071745408698916,False,True
