qID,dataset,video,answer_format
heico__1008170,heico,0008 - Heico - Prokto - 9.avi,open_ended
heico__1018769,heico,0008 - Heico - Prokto - 9.avi,fo_class
heico__1018924,heico,0008 - Heico - Prokto - 9.avi,fo_class
heico__1018963,heico,0008 - Heico - Prokto - 9.avi,fo_class
heico__1019129,heico,0008 - Heico - Prokto - 9.avi,fo_class
heico__102532,heico,0000 - Heico - Prokto - 1.avi,fo_class
heico__102534,heico,0000 - Heico - Prokto - 1.avi,fo_class
heico__102535,heico,0000 - Heico - Prokto - 1.avi,fo_class
heico__102543,heico,0000 - Heico - Prokto - 1.avi,fo_class
heico__1052291,heico,0008 - Heico - Prokto - 9.avi,multiple_choice
heico__1052318,heico,0008 - Heico - Prokto - 9.avi,multiple_choice
heico__1070526,heico,0019 - Heico - Rektum - 10.avi,open_ended
heico__1070552,heico,0019 - Heico - Rektum - 10.avi,open_ended
heico__1072827,heico,0019 - Heico - Rektum - 10.avi,fo_class
heico__1072830,heico,0019 - Heico - Rektum - 10.avi,fo_class
heico__1072837,heico,0019 - Heico - Rektum - 10.avi,fo_class
heico__1072842,heico,0019 - Heico - Rektum - 10.avi,fo_class
heico__1151872,heico,0010 - Heico - Rektum - 1.avi,open_ended
heico__1162751,heico,0010 - Heico - Rektum - 1.avi,fo_class
heico__1162803,heico,0010 - Heico - Rektum - 1.avi,fo_class
heico__1162900,heico,0010 - Heico - Rektum - 1.avi,fo_class
heico__1195258,heico,0010 - Heico - Rektum - 1.avi,multiple_choice
heico__1257944,heico,0011 - Heico - Rektum - 2.avi,open_ended
heico__1258075,heico,0011 - Heico - Rektum - 2.avi,open_ended
heico__1267524,heico,0011 - Heico - Rektum - 2.avi,fo_class
heico__1267526,heico,0011 - Heico - Rektum - 2.avi,fo_class
heico__1267535,heico,0011 - Heico - Rektum - 2.avi,fo_class
heico__1296320,heico,0011 - Heico - Rektum - 2.avi,multiple_choice
heico__1393510,heico,0012 - Heico - Rektum - 3.avi,fo_class
heico__1393649,heico,0012 - Heico - Rektum - 3.avi,fo_class
heico__1393678,heico,0012 - Heico - Rektum - 3.avi,fo_class
heico__1393693,heico,0012 - Heico - Rektum - 3.avi,fo_class
heico__1434600,heico,0012 - Heico - Rektum - 3.avi,multiple_choice
heico__1480374,heico,0013 - Heico - Rektum - 4.avi,open_ended
heico__1486227,heico,0013 - Heico - Rektum - 4.avi,fo_class
heico__1486296,heico,0013 - Heico - Rektum - 4.avi,fo_class
heico__1486533,heico,0013 - Heico - Rektum - 4.avi,fo_class
heico__1486562,heico,0013 - Heico - Rektum - 4.avi,fo_class
heico__1486674,heico,0013 - Heico - Rektum - 4.avi,fo_class
heico__151529,heico,0001 - Heico - Prokto - 2.avi,open_ended
heico__151597,heico,0001 - Heico - Prokto - 2.avi,open_ended
heico__151612,heico,0001 - Heico - Prokto - 2.avi,open_ended
heico__151615,heico,0001 - Heico - Prokto - 2.avi,open_ended
heico__151616,heico,0001 - Heico - Prokto - 2.avi,open_ended
heico__151720,heico,0001 - Heico - Prokto - 2.avi,open_ended
heico__155751,heico,0001 - Heico - Prokto - 2.avi,fo_class
heico__1565337,heico,0014 - Heico - Rektum - 5.avi,open_ended
heico__1574284,heico,0014 - Heico - Rektum - 5.avi,fo_class
heico__1574331,heico,0014 - Heico - Rektum - 5.avi,fo_class
heico__1574580,heico,0014 - Heico - Rektum - 5.avi,fo_class
heico__1574581,heico,0014 - Heico - Rektum - 5.avi,fo_class
heico__1600337,heico,0014 - Heico - Rektum - 5.avi,multiple_choice
heico__1649851,heico,0015 - Heico - Rektum - 6.avi,open_ended
heico__1650047,heico,0015 - Heico - Rektum - 6.avi,open_ended
heico__1656340,heico,0015 - Heico - Rektum - 6.avi,fo_class
heico__1656552,heico,0015 - Heico - Rektum - 6.avi,fo_class
heico__1675369,heico,0015 - Heico - Rektum - 6.avi,multiple_choice
heico__1675386,heico,0015 - Heico - Rektum - 6.avi,multiple_choice
heico__1675405,heico,0015 - Heico - Rektum - 6.avi,multiple_choice
heico__172215,heico,0001 - Heico - Prokto - 2.avi,multiple_choice
heico__172225,heico,0001 - Heico - Prokto - 2.avi,multiple_choice
heico__172234,heico,0001 - Heico - Prokto - 2.avi,multiple_choice
heico__1775750,heico,0016 - Heico - Rektum - 7.avi,fo_class
heico__1775777,heico,0016 - Heico - Rektum - 7.avi,fo_class
heico__1775797,heico,0016 - Heico - Rektum - 7.avi,fo_class
heico__1776031,heico,0016 - Heico - Rektum - 7.avi,fo_class
heico__1810658,heico,0016 - Heico - Rektum - 7.avi,multiple_choice
heico__1810686,heico,0016 - Heico - Rektum - 7.avi,multiple_choice
heico__1854877,heico,0017 - Heico - Rektum - 8.avi,open_ended
heico__1855106,heico,0017 - Heico - Rektum - 8.avi,open_ended
heico__1861480,heico,0017 - Heico - Rektum - 8.avi,fo_class
heico__1861517,heico,0017 - Heico - Rektum - 8.avi,fo_class
heico__1861518,heico,0017 - Heico - Rektum - 8.avi,fo_class
