layer,kind,C,cv_exact_acc
34,ordinal,0.01,0.8108941418293937
36,ordinal,0.01,0.8096951010620075
32,ordinal,0.01,0.8095238095238095
34,multinomial,0.01,0.8088386433710175
32,multinomial,0.01,0.8084960602946214
36,multinomial,0.01,0.8076396026036314
30,ordinal,0.01,0.8052415210688592
30,multinomial,0.01,0.8045563549160671
34,balanced,0.01,0.8033573141486811
36,ordinal,0.1,0.802843439534087
34,multinomial,0.1,0.8013018156903049
28,ordinal,0.01,0.7994176087701268
34,ordinal,0.1,0.7992463172319287
32,multinomial,0.1,0.7983898595409387
36,multinomial,0.1,0.7980472764645427
26,ordinal,0.01,0.7978759849263446
32,ordinal,0.1,0.7977046933881466
32,balanced,0.01,0.7977046933881466
36,balanced,0.01,0.7975334018499486
28,multinomial,0.01,0.7966769441589585
36,ordinal,1.0,0.7963343610825625
30,multinomial,0.1,0.7951353203151764
30,balanced,0.01,0.7946214457005824
34,ordinal,1.0,0.7941075710859884
24,ordinal,0.01,0.7941075710859884
30,ordinal,0.1,0.7939362795477903
32,ordinal,1.0,0.7918807810894142
32,multinomial,1.0,0.7915381980130182
26,multinomial,0.01,0.79051044878383
34,multinomial,1.0,0.7899965741692361
28,multinomial,0.1,0.789825282631038
36,balanced,0.1,0.789482699554642
28,ordinal,0.1,0.789140116478246
26,ordinal,0.1,0.7889688249400479
30,ordinal,1.0,0.7886262418636519
36,multinomial,1.0,0.7884549503254539
34,balanced,0.1,0.7882836587872559
32,balanced,0.1,0.7882836587872559
24,multinomial,0.01,0.7869133264816718
28,balanced,0.01,0.7867420349434738
24,ordinal,0.1,0.7858855772524838
26,multinomial,0.1,0.7846865364850977
30,multinomial,1.0,0.7845152449468996
28,ordinal,1.0,0.7841726618705036
28,multinomial,1.0,0.7840013703323055
26,balanced,0.01,0.7836587872559095
22,ordinal,0.01,0.7819458718739294
26,ordinal,1.0,0.7807468311065433
24,balanced,0.01,0.7795477903391572
30,balanced,0.1,0.7793764988009593
34,balanced,1.0,0.7792052072627612
26,multinomial,1.0,0.7785200411099692
24,ordinal,1.0,0.7783487495717711
36,balanced,1.0,0.7781774580335732
28,balanced,0.1,0.7781774580335732
32,balanced,1.0,0.7773210003425831
24,multinomial,0.1,0.7773210003425831
26,balanced,0.1,0.7720109626584447
22,multinomial,0.01,0.7716683795820486
30,balanced,1.0,0.7716683795820486
24,multinomial,1.0,0.7713257965056526
24,balanced,0.1,0.7689277149708804
22,ordinal,0.1,0.7682425488180884
28,balanced,1.0,0.7680712572798903
26,balanced,1.0,0.7668722165125043
20,ordinal,0.01,0.7665296334361082
24,balanced,1.0,0.7648167180541281
22,ordinal,1.0,0.7644741349777321
22,multinomial,0.1,0.7601918465227818
22,balanced,0.01,0.7571085988352175
20,multinomial,0.01,0.7557382665296334
20,ordinal,0.1,0.7553956834532374
22,multinomial,1.0,0.7550531003768414
20,ordinal,1.0,0.7511133949982871
22,balanced,0.1,0.7487153134635149
20,balanced,0.01,0.7483727303871188
20,multinomial,0.1,0.7475162726961289
22,balanced,1.0,0.7425488180883865
20,multinomial,1.0,0.7396368619390202
20,balanced,0.1,0.7391229873244262
20,balanced,1.0,0.7317574511819116
18,ordinal,0.01,0.696985268927715
18,ordinal,0.1,0.6921891058581706
18,ordinal,1.0,0.6885919835560124
18,multinomial,0.1,0.6793422404933196
18,multinomial,0.01,0.6772867420349434
18,multinomial,1.0,0.6718054128126071
18,balanced,0.1,0.6647824597464885
18,balanced,0.01,0.6620417951353204
18,balanced,1.0,0.6569030489893799
