arm,comparison,cell,delta,ci_low,ci_high,n,n_videos,wins_b,wins_a,excludes_zero
A,50a - rung47_ep4,aggregation_ID,0.005479804272630131,-0.032217427029835405,0.044006195407587406,955,28,88,88,False
A,50a - rung47_ep4,aggregation_OOD,0.010611755527088524,-0.016856542344884932,0.038694490648637135,1875,10,156,133,False
A,50a - rung47_ep4,object_recognition_ID,-0.005884969805594146,-0.03454900323155071,0.022982827390648174,1296,28,81,87,False
A,50a - rung47_ep4,object_recognition_OOD,-0.0009256764314587197,-0.024057452105920567,0.02410812461045859,2125,10,135,141,False
A,50a - rung47_ep4,temporal_grounding_ID,0.0,0.0,0.0,1,1,0,0,False
A,50a - rung47_ep4,temporal_grounding_OOD,,,,0,0,0,0,False
A,50a - rung47_ep4,ALL_ID,-0.0026895943562610216,-0.024487709435626098,0.01958801807760143,2252,28,169,175,False
A,50a - rung47_ep4,ALL_OOD,0.0042499999999999994,-0.013500000000000002,0.0225,4000,10,291,274,False
B,50b - rung47_ep4,aggregation_ID,0.018845067678278753,-0.015963015078403645,0.05424343930361387,955,28,93,81,False
B,50b - rung47_ep4,aggregation_OOD,0.014662412162735112,-0.020031013767985963,0.05089405339869539,1875,10,167,138,False
B,50b - rung47_ep4,object_recognition_ID,0.007429220123889619,-0.0248607806578628,0.039979132630684484,1296,28,95,79,False
B,50b - rung47_ep4,object_recognition_OOD,0.013378074564654382,-0.011949062912885944,0.042008701595505064,2125,10,137,116,False
B,50b - rung47_ep4,temporal_grounding_ID,0.0,0.0,0.0,1,1,0,0,False
B,50b - rung47_ep4,temporal_grounding_OOD,,,,0,0,0,0,False
B,50b - rung47_ep4,ALL_ID,0.01241732804232804,-0.011194609788359787,0.036309661596119924,2252,28,188,160,False
B,50b - rung47_ep4,ALL_OOD,0.0125,-0.008,0.032749999999999994,4000,10,304,254,False
