dataset,video,n,fp,n_no_clip,fp_rate,arm
heico,0024 - Heico - Sigma - 5.avi,226,87,165,0.5273,19b_ep3
heico,0020 - Heico - Sigma - 1.avi,220,70,220,0.3182,19b_ep3
heico,0028 - Heico - Sigma - 9.avi,169,37,118,0.3136,19b_ep3
heico,0025 - Heico - Sigma - 6.avi,191,21,101,0.2079,19b_ep3
heico,0022 - Heico - Sigma - 3.avi,174,14,90,0.1556,19b_ep3
heico,0029 - Heico - Sigma - 10.avi,165,12,70,0.1714,19b_ep3
heico,0027 - Heico - Sigma - 8.avi,191,11,118,0.0932,19b_ep3
heico,0026 - Heico - Sigma - 7.avi,183,10,100,0.1,19b_ep3
heico,0023 - Heico - Sigma - 4.avi,130,9,66,0.1364,19b_ep3
lapchole,0027 - Laparoscopic Cholecystectomy.mp4,39,8,25,0.32,19b_ep3
lapchole,0019 - Laparoscopic Cholecystectomy.mp4,46,6,33,0.1818,19b_ep3
lapchole,0065 - Laparoscopic Cholecystectomy.mp4,31,5,22,0.2273,19b_ep3
lapchole,0060 - Laparoscopic Cholecystectomy.mp4,51,5,30,0.1667,19b_ep3
lapchole,0033 - Laparoscopic Cholecystectomy.mp4,29,4,17,0.2353,19b_ep3
lapchole,0061 - Laparoscopic Cholecystectomy.mp4,34,4,24,0.1667,19b_ep3
lapchole,0158 - Laparoscopic Cholecystectomy.mp4,40,3,23,0.1304,19b_ep3
lapchole,0048 - Laparoscopic Cholecystectomy.mp4,35,3,23,0.1304,19b_ep3
lapchole,0183 - Laparoscopic Cholecystectomy.mp4,40,3,28,0.1071,19b_ep3
lapchole,0004 - Laparoscopic Cholecystectomy.mp4,44,3,31,0.0968,19b_ep3
lapchole,0100 - Laparoscopic Cholecystectomy.mp4,27,2,8,0.25,19b_ep3
lapchole,0017 - Laparoscopic Cholecystectomy.mp4,34,2,20,0.1,19b_ep3
lapchole,0032 - Laparoscopic Cholecystectomy.mp4,28,2,9,0.2222,19b_ep3
lapchole,0066 - Laparoscopic Cholecystectomy.mp4,32,2,18,0.1111,19b_ep3
lapchole,0089 - Laparoscopic Cholecystectomy.mp4,26,2,18,0.1111,19b_ep3
lapchole,0093 - Laparoscopic Cholecystectomy.mp4,25,2,16,0.125,19b_ep3
lapchole,0074 - Laparoscopic Cholecystectomy.mp4,36,2,21,0.0952,19b_ep3
lapchole,0149 - Laparoscopic Cholecystectomy.mp4,29,1,12,0.0833,19b_ep3
lapchole,0028 - Laparoscopic Cholecystectomy.mp4,38,1,18,0.0556,19b_ep3
lapchole,0016 - Laparoscopic Cholecystectomy.mp4,15,1,3,0.3333,19b_ep3
lapchole,0045 - Laparoscopic Cholecystectomy.mp4,26,1,13,0.0769,19b_ep3
lapchole,0026 - Laparoscopic Cholecystectomy.mp4,35,1,16,0.0625,19b_ep3
lapchole,0070 - Laparoscopic Cholecystectomy.mp4,33,1,12,0.0833,19b_ep3
heico,0021 - Heico - Sigma - 2.avi,106,0,24,0.0,19b_ep3
lapchole,0000 - Laparoscopic Cholecystectomy.mp4,25,0,15,0.0,19b_ep3
lapchole,0043 - Laparoscopic Cholecystectomy.mp4,21,0,6,0.0,19b_ep3
lapchole,0072 - Laparoscopic Cholecystectomy.mp4,42,0,21,0.0,19b_ep3
lapchole,0078 - Laparoscopic Cholecystectomy.mp4,32,0,19,0.0,19b_ep3
lapchole,0079 - Laparoscopic Cholecystectomy.mp4,27,0,13,0.0,19b_ep3
heico,0024 - Heico - Sigma - 5.avi,226,91,165,0.5515,19b_ep4
heico,0020 - Heico - Sigma - 1.avi,220,65,220,0.2955,19b_ep4
heico,0028 - Heico - Sigma - 9.avi,169,28,118,0.2373,19b_ep4
heico,0023 - Heico - Sigma - 4.avi,130,14,66,0.2121,19b_ep4
heico,0022 - Heico - Sigma - 3.avi,174,13,90,0.1444,19b_ep4
heico,0026 - Heico - Sigma - 7.avi,183,10,100,0.1,19b_ep4
heico,0025 - Heico - Sigma - 6.avi,191,9,101,0.0891,19b_ep4
heico,0029 - Heico - Sigma - 10.avi,165,8,70,0.1143,19b_ep4
lapchole,0027 - Laparoscopic Cholecystectomy.mp4,39,8,25,0.32,19b_ep4
lapchole,0017 - Laparoscopic Cholecystectomy.mp4,34,6,20,0.3,19b_ep4
