decile,size,fp_rate,arm
0.1,11,0.0909,19b_ep3
0.2,19,0.0526,19b_ep3
0.3,16,0.3125,19b_ep3
0.4,22,0.2727,19b_ep3
0.5,13,0.3846,19b_ep3
0.6,23,0.3478,19b_ep3
0.7,22,0.1364,19b_ep3
0.8,16,0.25,19b_ep3
0.9,18,0.1667,19b_ep3
1.0,30,0.2,19b_ep3
0.1,11,0.2727,19b_ep4
0.2,19,0.0,19b_ep4
0.3,16,0.3125,19b_ep4
0.4,22,0.3182,19b_ep4
0.5,13,0.5385,19b_ep4
0.6,23,0.3478,19b_ep4
0.7,22,0.2727,19b_ep4
0.8,16,0.125,19b_ep4
0.9,18,0.1667,19b_ep4
1.0,30,0.2333,19b_ep4
0.1,11,0.0,19b_ep5
0.2,19,0.0,19b_ep5
0.3,16,0.1875,19b_ep5
0.4,22,0.1818,19b_ep5
0.5,13,0.3846,19b_ep5
0.6,23,0.3043,19b_ep5
0.7,22,0.2273,19b_ep5
0.8,16,0.0,19b_ep5
0.9,18,0.0,19b_ep5
1.0,30,0.1,19b_ep5
0.1,11,0.0,47_ep3
0.2,19,0.0,47_ep3
0.3,16,0.375,47_ep3
0.4,22,0.2273,47_ep3
0.5,13,0.3077,47_ep3
0.6,23,0.2174,47_ep3
0.7,22,0.0909,47_ep3
0.8,16,0.0625,47_ep3
0.9,18,0.0,47_ep3
1.0,30,0.1,47_ep3
0.1,11,0.0909,47_ep4
0.2,19,0.0,47_ep4
0.3,16,0.3125,47_ep4
0.4,22,0.2273,47_ep4
0.5,13,0.3846,47_ep4
0.6,23,0.2174,47_ep4
0.7,22,0.0909,47_ep4
0.8,16,0.0625,47_ep4
0.9,18,0.0556,47_ep4
1.0,30,0.1667,47_ep4
0.1,11,0.0,47_ep5
0.2,19,0.0,47_ep5
0.3,16,0.25,47_ep5
0.4,22,0.2727,47_ep5
0.5,13,0.3846,47_ep5
0.6,23,0.2174,47_ep5
0.7,22,0.1818,47_ep5
0.8,16,0.0,47_ep5
0.9,18,0.0556,47_ep5
1.0,30,0.1333,47_ep5
