fo_class,gold,pred,emission_ratio,TP,FP,FN,precision,recall,arm
Clip,1089,1251,1.1488,916,335,173,0.7322,0.8411,19b_ep3
External Drain,362,331,0.9144,319,12,43,0.9637,0.8812,19b_ep3
Gallstone,28,2,0.0714,0,2,28,0.0,0.0,19b_ep3
Needle,283,194,0.6855,170,24,113,0.8763,0.6007,19b_ep3
Silicone Loop,0,26,,0,26,0,0.0,,19b_ep3
Specimen,398,404,1.0151,322,82,76,0.797,0.809,19b_ep3
Specimen Bag,327,327,1.0,282,45,45,0.8624,0.8624,19b_ep3
Sponge,867,884,1.0196,745,139,122,0.8428,0.8593,19b_ep3
Clip,1089,1216,1.1166,920,296,169,0.7566,0.8448,19b_ep4
External Drain,362,346,0.9558,332,14,30,0.9595,0.9171,19b_ep4
Gallstone,28,6,0.2143,1,5,27,0.1667,0.0357,19b_ep4
Needle,283,194,0.6855,172,22,111,0.8866,0.6078,19b_ep4
Silicone Loop,0,18,,0,18,0,0.0,,19b_ep4
Specimen,398,412,1.0352,334,78,64,0.8107,0.8392,19b_ep4
Specimen Bag,327,325,0.9939,283,42,44,0.8708,0.8654,19b_ep4
Sponge,867,825,0.9516,735,90,132,0.8909,0.8478,19b_ep4
Clip,1089,1061,0.9743,859,202,230,0.8096,0.7888,19b_ep5
External Drain,362,334,0.9227,327,7,35,0.979,0.9033,19b_ep5
Gallstone,28,6,0.2143,0,6,28,0.0,0.0,19b_ep5
Needle,283,232,0.8198,200,32,83,0.8621,0.7067,19b_ep5
Silicone Loop,0,15,,0,15,0,0.0,,19b_ep5
Specimen,398,398,1.0,317,81,81,0.7965,0.7965,19b_ep5
Specimen Bag,327,341,1.0428,290,51,37,0.8504,0.8869,19b_ep5
Sponge,867,903,1.0415,767,136,100,0.8494,0.8847,19b_ep5
Clip,1089,1090,1.0009,837,253,252,0.7679,0.7686,47_ep3
External Drain,362,337,0.9309,317,20,45,0.9407,0.8757,47_ep3
Gallstone,28,3,0.1071,0,3,28,0.0,0.0,47_ep3
Needle,283,162,0.5724,144,18,139,0.8889,0.5088,47_ep3
Silicone Loop,0,16,,0,16,0,0.0,,47_ep3
Specimen,398,428,1.0754,326,102,72,0.7617,0.8191,47_ep3
Specimen Bag,327,306,0.9358,274,32,53,0.8954,0.8379,47_ep3
Sponge,867,928,1.0704,755,173,112,0.8136,0.8708,47_ep3
Clip,1089,1165,1.0698,897,268,192,0.77,0.8237,47_ep4
External Drain,362,343,0.9475,319,24,43,0.93,0.8812,47_ep4
Gallstone,28,2,0.0714,0,2,28,0.0,0.0,47_ep4
Needle,283,212,0.7491,189,23,94,0.8915,0.6678,47_ep4
Silicone Loop,0,15,,0,15,0,0.0,,47_ep4
Specimen,398,355,0.892,308,47,90,0.8676,0.7739,47_ep4
Specimen Bag,327,309,0.945,282,27,45,0.9126,0.8624,47_ep4
Sponge,867,893,1.03,763,130,104,0.8544,0.88,47_ep4
Clip,1089,1103,1.0129,873,230,216,0.7915,0.8017,47_ep5
External Drain,362,357,0.9862,327,30,35,0.916,0.9033,47_ep5
Gallstone,28,5,0.1786,1,4,27,0.2,0.0357,47_ep5
Needle,283,225,0.7951,199,26,84,0.8844,0.7032,47_ep5
Silicone Loop,0,12,,0,12,0,0.0,,47_ep5
Specimen,398,387,0.9724,317,70,81,0.8191,0.7965,47_ep5
Specimen Bag,327,322,0.9847,282,40,45,0.8758,0.8624,47_ep5
Sponge,867,906,1.045,766,140,101,0.8455,0.8835,47_ep5
