video,dataset,qID,fp,gold_clip,spec_frac,blob_count,mean_v,sat_low,n_inside
0000 - Laparoscopic Cholecystectomy.mp4,lapchole,lapchole__11391,False,True,0.0026115957389419705,15,120.66549679024412,0.7100970066606798,315133
0000 - Laparoscopic Cholecystectomy.mp4,lapchole,lapchole__11399,False,True,0.03645117592335689,77,135.44786277357966,0.3446981443097061,306355
0000 - Laparoscopic Cholecystectomy.mp4,lapchole,lapchole__11406,False,False,0.006969206887369043,52,125.33527211083182,0.3844852334651832,307926
0000 - Laparoscopic Cholecystectomy.mp4,lapchole,lapchole__12863,False,True,0.12049454285431543,18,139.0854340976636,0.22294969976920057,313259
0000 - Laparoscopic Cholecystectomy.mp4,lapchole,lapchole__13101,False,True,0.014097511692169759,76,100.67100676439692,0.3899363705096381,298918
0000 - Laparoscopic Cholecystectomy.mp4,lapchole,lapchole__13271,False,False,0.12437563996903174,17,141.42174895731875,0.058842811118603434,320328
0000 - Laparoscopic Cholecystectomy.mp4,lapchole,lapchole__11350,False,True,0.020232937027932676,26,116.25900136140311,0.277799564478538,313647
0000 - Laparoscopic Cholecystectomy.mp4,lapchole,lapchole__11366,False,True,0.04089525537816045,99,109.63031461353823,0.55647470671892,310794
0000 - Laparoscopic Cholecystectomy.mp4,lapchole,lapchole__11487,False,False,0.2090022552563399,26,142.23589753798814,0.05564766809907202,351623
0000 - Laparoscopic Cholecystectomy.mp4,lapchole,lapchole__11492,False,False,0.03367566578085253,28,139.4482713999861,0.24142959040038378,316846
0000 - Laparoscopic Cholecystectomy.mp4,lapchole,lapchole__11508,False,False,0.11467166363819907,50,122.44096380981223,0.8033641227538866,316992
0000 - Laparoscopic Cholecystectomy.mp4,lapchole,lapchole__11514,False,False,0.023989821466336478,21,114.44097883110592,0.3620781400298807,293166
0000 - Laparoscopic Cholecystectomy.mp4,lapchole,lapchole__11515,False,False,0.05096244360048041,31,109.54992912866123,0.42417488088926397,277263
0000 - Laparoscopic Cholecystectomy.mp4,lapchole,lapchole__11517,False,False,0.15078141951851873,11,141.8347724731135,0.046743297150837054,359474
0000 - Laparoscopic Cholecystectomy.mp4,lapchole,lapchole__12956,False,True,0.06756818167063758,44,110.90047521050137,0.3863552263417231,308074
0000 - Laparoscopic Cholecystectomy.mp4,lapchole,lapchole__13289,False,False,0.11801286976565502,32,149.96565561371494,0.08323628985785632,333184
0000 - Laparoscopic Cholecystectomy.mp4,lapchole,lapchole__13312,False,False,0.20456017046926137,16,144.45258235030963,0.10036848673212309,339768
0000 - Laparoscopic Cholecystectomy.mp4,lapchole,lapchole__13333,False,False,0.004201474028848248,50,111.56510528275639,0.2682093149068018,284662
0000 - Laparoscopic Cholecystectomy.mp4,lapchole,lapchole__13334,False,False,0.014562070437860694,74,130.13250485517128,0.33155654725011363,290412
0000 - Laparoscopic Cholecystectomy.mp4,lapchole,lapchole__13341,False,False,0.15078141951851873,11,141.8347724731135,0.046743297150837054,359474
0000 - Laparoscopic Cholecystectomy.mp4,lapchole,lapchole__30964,False,False,0.08915645701716245,5,141.01083842750083,0.08616709721973553,312776
0000 - Laparoscopic Cholecystectomy.mp4,lapchole,lapchole__30966,False,True,0.003771906812466808,111,91.76204674733023,0.3743305585237416,312574
0000 - Laparoscopic Cholecystectomy.mp4,lapchole,lapchole__30979,False,True,0.06123594265770864,47,120.52234829735515,0.4124527480981011,317183
0000 - Laparoscopic Cholecystectomy.mp4,lapchole,lapchole__30996,False,True,0.0745075985041289,46,122.80969901472041,0.39365748110303017,314733
0000 - Laparoscopic Cholecystectomy.mp4,lapchole,lapchole__31011,False,False,0.043703583812150226,23,141.91021171695542,0.2516979064859716,321278
0004 - Laparoscopic Cholecystectomy.mp4,lapchole,lapchole__126973,True,False,0.0018988818298710387,104,108.80837895170872,0.5224095182808066,921595
0004 - Laparoscopic Cholecystectomy.mp4,lapchole,lapchole__127018,False,False,0.07044966253607934,152,118.97724125957595,0.7834262896330215,921580
