layer,C,cv_exact_set_acc
24,0.01,0.9223965090222903
32,0.01,0.919801863427291
26,0.01,0.919801863427291
34,0.01,0.9189762943743366
36,0.01,0.9172072178322915
30,0.01,0.9150843259818375
28,0.01,0.9149663875457011
24,0.1,0.9130793725675198
22,0.01,0.911074419153202
34,0.1,0.910012973227975
32,0.1,0.909659157919566
26,0.1,0.9090694657388843
28,0.1,0.9076542045052483
24,1.0,0.9076542045052483
36,0.1,0.9063568817077485
30,0.1,0.9061210048354759
22,0.1,0.9039981129850219
32,1.0,0.9034084208043401
26,1.0,0.9019931595707041
34,1.0,0.9017572826984315
28,1.0,0.9001061445925227
30,1.0,0.898808821795023
36,1.0,0.898455006486614
20,0.01,0.8955065455832055
22,1.0,0.8932657152966151
20,0.1,0.8850100247670716
20,1.0,0.8747493808232103
18,0.01,0.8304045288359476
18,0.1,0.8275740063686755
18,1.0,0.8187286236584503
