read_point,layer,probe_exact_OOD
encoder[max],,0.266
visual[max],0.0,0.2673
visual[max],4.0,0.344
visual[max],8.0,0.3414
visual[max],12.0,0.3491
visual[max],16.0,0.4501
visual[max],20.0,0.4693
visual[max],24.0,0.5281
visual[max],28.0,0.5652
visual[max],32.0,0.4258
visual[max],36.0,0.509
encoder[mean],,0.078
visual[mean],0.0,0.2276
visual[mean],4.0,0.2698
visual[mean],8.0,0.266
visual[mean],12.0,0.289
visual[mean],16.0,0.3286
visual[mean],20.0,0.4847
visual[mean],24.0,0.3926
visual[mean],28.0,0.4514
visual[mean],32.0,0.4616
visual[mean],36.0,0.4182
