video_id,n_frames,first_clip_frame,n_clip,n_bag,n_pos,split,seed
VID01,1734,698,86,125,211,train,42
VID02,2840,1255,67,59,126,train,42
VID04,1523,898,41,59,100,train,42
VID05,2345,1021,103,87,190,hold,42
VID06,2154,1236,84,175,259,hold,42
VID08,1520,768,45,73,118,train,42
VID10,1750,912,47,150,197,hold,42
VID103,2220,777,54,118,172,train,42
VID110,2177,886,73,52,125,hold,42
VID111,2146,952,36,126,162,train,42
VID12,1091,519,48,31,79,hold,42
VID13,982,372,37,91,128,train,42
VID14,1709,591,19,78,97,train,42
VID15,2059,449,33,82,115,train,42
VID18,1943,787,126,101,227,hold,42
VID22,1533,462,91,89,180,train,42
VID23,1636,630,53,187,240,train,42
VID25,2130,931,36,116,152,hold,42
VID26,1774,743,61,68,129,hold,42
VID27,2085,911,78,162,240,train,42
VID29,2351,513,93,94,187,train,42
VID31,3946,3129,183,63,246,train,42
VID32,2117,1021,64,86,150,train,42
VID35,2107,1217,80,83,163,train,42
VID36,2388,1088,78,57,135,train,42
VID40,2223,1343,105,93,198,train,42
VID42,3713,1740,67,97,164,train,42
VID43,2363,974,45,157,202,train,42
VID47,2260,748,112,66,178,train,42
VID48,1835,1071,51,146,197,train,42
VID49,1672,471,36,144,180,hold,42
VID50,1095,638,22,63,85,train,42
VID51,2945,1417,163,103,266,train,42
VID52,1967,584,111,99,210,train,42
VID56,1837,996,28,92,120,train,42
VID57,2633,1124,71,121,192,train,42
VID60,2533,2102,44,106,150,train,42
VID62,2033,1091,27,51,78,train,42
VID65,1874,1144,64,46,110,train,42
VID66,1825,677,66,76,142,hold,42
VID68,1973,930,94,77,171,train,42
VID70,1195,536,66,98,164,train,42
VID73,1357,727,47,82,129,train,42
VID74,1635,501,54,139,193,train,42
VID75,1924,504,35,129,164,hold,42
VID78,740,332,34,83,117,hold,42
VID79,3415,1617,60,147,207,hold,42
VID80,1725,1136,59,82,141,train,42
VID92,2124,689,84,88,172,hold,42
VID96,1707,956,46,59,105,hold,42
