dataset,video_id,procedure_type,split,n_questions,seed,ood_procedure,ood_dataset,val_frac
heico,0000 - Heico - Prokto - 1.avi,Proctocolectomy,train,400,42,organizer:heico-test(Sigmoid Resection),heico,0.0
heico,0001 - Heico - Prokto - 2.avi,Proctocolectomy,train,400,42,organizer:heico-test(Sigmoid Resection),heico,0.0
heico,0002 - Heico - Prokto - 3.avi,Proctocolectomy,train,400,42,organizer:heico-test(Sigmoid Resection),heico,0.0
heico,0003 - Heico - Prokto - 4.avi,Proctocolectomy,train,400,42,organizer:heico-test(Sigmoid Resection),heico,0.0
heico,0004 - Heico - Prokto - 5.avi,Proctocolectomy,train,400,42,organizer:heico-test(Sigmoid Resection),heico,0.0
heico,0005 - Heico - Prokto - 6.avi,Proctocolectomy,train,400,42,organizer:heico-test(Sigmoid Resection),heico,0.0
heico,0006 - Heico - Prokto - 7.avi,Proctocolectomy,train,400,42,organizer:heico-test(Sigmoid Resection),heico,0.0
heico,0007 - Heico - Prokto - 8.avi,Proctocolectomy,train,400,42,organizer:heico-test(Sigmoid Resection),heico,0.0
heico,0008 - Heico - Prokto - 9.avi,Proctocolectomy,train,400,42,organizer:heico-test(Sigmoid Resection),heico,0.0
heico,0009 - Heico - Prokto - 10.avi,Proctocolectomy,train,400,42,organizer:heico-test(Sigmoid Resection),heico,0.0
heico,0010 - Heico - Rektum - 1.avi,Rectal Resection,train,400,42,organizer:heico-test(Sigmoid Resection),heico,0.0
heico,0011 - Heico - Rektum - 2.avi,Rectal Resection,train,400,42,organizer:heico-test(Sigmoid Resection),heico,0.0
heico,0012 - Heico - Rektum - 3.avi,Rectal Resection,train,400,42,organizer:heico-test(Sigmoid Resection),heico,0.0
heico,0013 - Heico - Rektum - 4.avi,Rectal Resection,train,400,42,organizer:heico-test(Sigmoid Resection),heico,0.0
heico,0014 - Heico - Rektum - 5.avi,Rectal Resection,train,400,42,organizer:heico-test(Sigmoid Resection),heico,0.0
heico,0015 - Heico - Rektum - 6.avi,Rectal Resection,train,400,42,organizer:heico-test(Sigmoid Resection),heico,0.0
heico,0016 - Heico - Rektum - 7.avi,Rectal Resection,train,400,42,organizer:heico-test(Sigmoid Resection),heico,0.0
heico,0017 - Heico - Rektum - 8.avi,Rectal Resection,train,400,42,organizer:heico-test(Sigmoid Resection),heico,0.0
heico,0018 - Heico - Rektum - 9.avi,Rectal Resection,train,400,42,organizer:heico-test(Sigmoid Resection),heico,0.0
heico,0019 - Heico - Rektum - 10.avi,Rectal Resection,train,400,42,organizer:heico-test(Sigmoid Resection),heico,0.0
heico,0020 - Heico - Sigma - 1.avi,Sigmoid Resection,val_ood,400,42,organizer:heico-test(Sigmoid Resection),heico,0.0
heico,0021 - Heico - Sigma - 2.avi,Sigmoid Resection,val_ood,400,42,organizer:heico-test(Sigmoid Resection),heico,0.0
heico,0022 - Heico - Sigma - 3.avi,Sigmoid Resection,val_ood,400,42,organizer:heico-test(Sigmoid Resection),heico,0.0
heico,0023 - Heico - Sigma - 4.avi,Sigmoid Resection,val_ood,400,42,organizer:heico-test(Sigmoid Resection),heico,0.0
heico,0024 - Heico - Sigma - 5.avi,Sigmoid Resection,val_ood,400,42,organizer:heico-test(Sigmoid Resection),heico,0.0
heico,0025 - Heico - Sigma - 6.avi,Sigmoid Resection,val_ood,400,42,organizer:heico-test(Sigmoid Resection),heico,0.0
heico,0026 - Heico - Sigma - 7.avi,Sigmoid Resection,val_ood,400,42,organizer:heico-test(Sigmoid Resection),heico,0.0
heico,0027 - Heico - Sigma - 8.avi,Sigmoid Resection,val_ood,400,42,organizer:heico-test(Sigmoid Resection),heico,0.0
heico,0028 - Heico - Sigma - 9.avi,Sigmoid Resection,val_ood,400,42,organizer:heico-test(Sigmoid Resection),heico,0.0
heico,0029 - Heico - Sigma - 10.avi,Sigmoid Resection,val_ood,400,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0000 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,val_id,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0001 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0002 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0004 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,val_id,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0005 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0006 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0007 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0008 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0009 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0010 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0011 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0013 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,81,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0014 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
lapchole,0016 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,val_id,80,42,organizer:heico-test(Sigmoid Resection),heico,0.0
