dataset,video_id,procedure_type,split,n_questions,seed,ood_procedure,ood_dataset,val_frac,ood_axis
heico,0000 - Heico - Prokto - 1.avi,Proctocolectomy,test_id,400,42,Sigmoid Resection,heico,0.2,procedure
heico,0001 - Heico - Prokto - 2.avi,Proctocolectomy,val_id,400,42,Sigmoid Resection,heico,0.2,procedure
heico,0002 - Heico - Prokto - 3.avi,Proctocolectomy,train,400,42,Sigmoid Resection,heico,0.2,procedure
heico,0003 - Heico - Prokto - 4.avi,Proctocolectomy,train,400,42,Sigmoid Resection,heico,0.2,procedure
heico,0004 - Heico - Prokto - 5.avi,Proctocolectomy,test_id,400,42,Sigmoid Resection,heico,0.2,procedure
heico,0005 - Heico - Prokto - 6.avi,Proctocolectomy,train,400,42,Sigmoid Resection,heico,0.2,procedure
heico,0006 - Heico - Prokto - 7.avi,Proctocolectomy,train,400,42,Sigmoid Resection,heico,0.2,procedure
heico,0007 - Heico - Prokto - 8.avi,Proctocolectomy,train,400,42,Sigmoid Resection,heico,0.2,procedure
heico,0008 - Heico - Prokto - 9.avi,Proctocolectomy,train,400,42,Sigmoid Resection,heico,0.2,procedure
heico,0009 - Heico - Prokto - 10.avi,Proctocolectomy,val_id,400,42,Sigmoid Resection,heico,0.2,procedure
heico,0010 - Heico - Rektum - 1.avi,Rectal Resection,test_id,400,42,Sigmoid Resection,heico,0.2,procedure
heico,0011 - Heico - Rektum - 2.avi,Rectal Resection,val_id,400,42,Sigmoid Resection,heico,0.2,procedure
heico,0012 - Heico - Rektum - 3.avi,Rectal Resection,train,400,42,Sigmoid Resection,heico,0.2,procedure
heico,0013 - Heico - Rektum - 4.avi,Rectal Resection,train,400,42,Sigmoid Resection,heico,0.2,procedure
heico,0014 - Heico - Rektum - 5.avi,Rectal Resection,test_id,400,42,Sigmoid Resection,heico,0.2,procedure
heico,0015 - Heico - Rektum - 6.avi,Rectal Resection,train,400,42,Sigmoid Resection,heico,0.2,procedure
heico,0016 - Heico - Rektum - 7.avi,Rectal Resection,train,400,42,Sigmoid Resection,heico,0.2,procedure
heico,0017 - Heico - Rektum - 8.avi,Rectal Resection,train,400,42,Sigmoid Resection,heico,0.2,procedure
heico,0018 - Heico - Rektum - 9.avi,Rectal Resection,train,400,42,Sigmoid Resection,heico,0.2,procedure
heico,0019 - Heico - Rektum - 10.avi,Rectal Resection,val_id,400,42,Sigmoid Resection,heico,0.2,procedure
heico,0020 - Heico - Sigma - 1.avi,Sigmoid Resection,val_ood,400,42,Sigmoid Resection,heico,0.2,procedure
heico,0021 - Heico - Sigma - 2.avi,Sigmoid Resection,val_ood,400,42,Sigmoid Resection,heico,0.2,procedure
heico,0022 - Heico - Sigma - 3.avi,Sigmoid Resection,val_ood,400,42,Sigmoid Resection,heico,0.2,procedure
heico,0023 - Heico - Sigma - 4.avi,Sigmoid Resection,val_ood,400,42,Sigmoid Resection,heico,0.2,procedure
heico,0024 - Heico - Sigma - 5.avi,Sigmoid Resection,val_ood,400,42,Sigmoid Resection,heico,0.2,procedure
heico,0025 - Heico - Sigma - 6.avi,Sigmoid Resection,val_ood,400,42,Sigmoid Resection,heico,0.2,procedure
heico,0026 - Heico - Sigma - 7.avi,Sigmoid Resection,val_ood,400,42,Sigmoid Resection,heico,0.2,procedure
heico,0027 - Heico - Sigma - 8.avi,Sigmoid Resection,val_ood,400,42,Sigmoid Resection,heico,0.2,procedure
heico,0028 - Heico - Sigma - 9.avi,Sigmoid Resection,val_ood,400,42,Sigmoid Resection,heico,0.2,procedure
heico,0029 - Heico - Sigma - 10.avi,Sigmoid Resection,val_ood,400,42,Sigmoid Resection,heico,0.2,procedure
lapchole,0000 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,test_id,80,42,Sigmoid Resection,heico,0.2,procedure
lapchole,0001 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,Sigmoid Resection,heico,0.2,procedure
lapchole,0002 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,Sigmoid Resection,heico,0.2,procedure
lapchole,0004 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,81,42,Sigmoid Resection,heico,0.2,procedure
lapchole,0005 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,test_id,81,42,Sigmoid Resection,heico,0.2,procedure
lapchole,0006 - Laparoscopic Cholecystectomy.mp4,Laparoscopic Cholecystectomy,train,80,42,Sigmoid Resection,heico,0.2,procedure
