bucket,group,split,n,n_templates,q_per_template,floor,formats
AGGREGATION_ID,AGGREGATION,ID,23,21,1.1,0.913,"open_ended 19, number 2, fo_class 2"
AGGREGATION_OOD,AGGREGATION,OOD,572,34,16.82,0.4056,"number 482, fo_class 90"
COMPLEX_REASONING_ID,COMPLEX_REASONING,ID,54,38,1.42,0.9074,open_ended 54
COMPLEX_REASONING_OOD,COMPLEX_REASONING,OOD,148,85,1.74,0.7432,"open_ended 97, fo_class 51"
EVENT_UNDERSTANDING_ID,EVENT_UNDERSTANDING,ID,94,20,4.7,0.8191,open_ended 94
EVENT_UNDERSTANDING_OOD,EVENT_UNDERSTANDING,OOD,145,87,1.67,0.8897,"binary 106, open_ended 39"
OBJECT_RECOGNITION_ID,OBJECT_RECOGNITION,ID,1409,398,3.54,0.55,"fo_class 678, multiple_choice 445, binary 193"
OBJECT_RECOGNITION_OOD,OBJECT_RECOGNITION,OOD,1383,366,3.78,0.5503,"fo_class 700, multiple_choice 432, binary 183"
TEMPORAL_GROUNDING_ID,TEMPORAL_GROUNDING,ID,674,66,10.21,0.4392,"time 670, fo_class 2, percentage 2"
TEMPORAL_GROUNDING_OOD,TEMPORAL_GROUNDING,OOD,1752,84,20.86,0.3299,"time 1690, fo_class 40, percentage 22"
