experiment,run,capability_group,distribution,answer_format,accuracy,n,floor,margin,ci_low,ci_high
12-image-processing,12c_composite_v1,aggregation,ID,binary,0.6477272727272727,176,0.6590909090909091,-0.011363636363636354,0.5416666666666666,0.7436507936507937
12-image-processing,12c_composite_v1,aggregation,ID,number,0.2942708333333333,768,0.24088541666666666,0.05338541666666666,0.23569003090823232,0.33320892091753024
12-image-processing,12c_composite_v1,aggregation,ID,open_ended,0.18181818181818182,11,0.9090909090909091,-0.7272727272727273,0.39199479034037865,0.579812974869435
12-image-processing,12c_composite_v1,aggregation,OOD,binary,0.7572992700729927,548,0.7262773722627737,0.031021897810219023,0.6528118591934382,0.8358801691729323
12-image-processing,12c_composite_v1,aggregation,OOD,number,0.43891402714932126,1326,0.46907993966817496,-0.0301659125188537,0.37168159849618143,0.5202876549286671
12-image-processing,12c_composite_v1,aggregation,OOD,open_ended,0.0,1,1.0,-1.0,0.45930208420611657,0.7330290437632542
12-image-processing,12c_composite_v1,object_recognition,ID,fo_class,0.5043478260869565,920,0.2891304347826087,0.2152173913043478,0.4513193471035428,0.5935570261629695
12-image-processing,12c_composite_v1,object_recognition,ID,multiple_choice,0.6777777777777778,90,0.36666666666666664,0.31111111111111117,0.4105387667887667,0.7418154761904762
12-image-processing,12c_composite_v1,object_recognition,ID,open_ended,0.4825174825174825,286,0.5174825174825175,-0.034965034965035,0.39199479034037865,0.579812974869435
12-image-processing,12c_composite_v1,object_recognition,OOD,fo_class,0.50997150997151,1755,0.36182336182336183,0.14814814814814814,0.4493992122976756,0.6190564653609895
12-image-processing,12c_composite_v1,object_recognition,OOD,multiple_choice,0.6071428571428571,112,0.5,0.1071428571428571,0.3199359183230151,0.7856418123891242
12-image-processing,12c_composite_v1,object_recognition,OOD,open_ended,0.6007751937984496,258,0.49224806201550386,0.10852713178294571,0.45930208420611657,0.7330290437632542
12-image-processing,12c_composite_v1,temporal_grounding,ID,open_ended,0.0,1,1.0,-1.0,0.39199479034037865,0.579812974869435
