experiment,run,capability_group,distribution,answer_format,accuracy,n,floor,margin,ci_low,ci_high
12-image-processing,12c_control_v1,aggregation,ID,binary,0.6988636363636364,176,0.6590909090909091,0.03977272727272729,0.5816743827160494,0.7827292768959435
12-image-processing,12c_control_v1,aggregation,ID,number,0.29296875,768,0.24088541666666666,0.05208333333333334,0.24237890620985292,0.3291656773814227
12-image-processing,12c_control_v1,aggregation,ID,open_ended,0.18181818181818182,11,0.9090909090909091,-0.7272727272727273,0.4018703730035137,0.5792204728628048
12-image-processing,12c_control_v1,aggregation,OOD,binary,0.7281021897810219,548,0.7262773722627737,0.0018248175182482562,0.6067277968741784,0.8154389924768214
12-image-processing,12c_control_v1,aggregation,OOD,number,0.44419306184012064,1326,0.46907993966817496,-0.02488687782805432,0.3702545222958599,0.5415106994814177
12-image-processing,12c_control_v1,aggregation,OOD,open_ended,0.0,1,1.0,-1.0,0.45216686584496435,0.7294530583451636
12-image-processing,12c_control_v1,object_recognition,ID,fo_class,0.483695652173913,920,0.2891304347826087,0.19456521739130433,0.43548977423873947,0.5662593635127949
12-image-processing,12c_control_v1,object_recognition,ID,multiple_choice,0.7111111111111111,90,0.36666666666666664,0.3444444444444445,0.5118055555555555,0.8190018315018315
12-image-processing,12c_control_v1,object_recognition,ID,open_ended,0.486013986013986,286,0.5174825174825175,-0.03146853146853151,0.4018703730035137,0.5792204728628048
12-image-processing,12c_control_v1,object_recognition,OOD,fo_class,0.505982905982906,1755,0.36182336182336183,0.14415954415954413,0.45000265632092107,0.6166152391596431
12-image-processing,12c_control_v1,object_recognition,OOD,multiple_choice,0.6696428571428571,112,0.5,0.1696428571428571,0.3686278103616813,0.8227503529922885
12-image-processing,12c_control_v1,object_recognition,OOD,open_ended,0.5775193798449613,258,0.49224806201550386,0.0852713178294574,0.45216686584496435,0.7294530583451636
12-image-processing,12c_control_v1,temporal_grounding,ID,open_ended,1.0,1,1.0,0.0,0.4018703730035137,0.5792204728628048
