experiment,run,capability_group,distribution,answer_format,accuracy,n,floor,margin,ci_low,ci_high
15-count-target,15_count_target_v1__checkpoint-860,aggregation,ID,binary,0.7613636363636364,176,0.6590909090909091,0.10227272727272729,0.675437610229277,0.8514219576719577
15-count-target,15_count_target_v1__checkpoint-860,aggregation,ID,number,0.3072916666666667,768,0.24088541666666666,0.06640625000000003,0.25670201853235924,0.35141832689082125
15-count-target,15_count_target_v1__checkpoint-860,aggregation,ID,open_ended,0.09090909090909091,11,0.9090909090909091,-0.8181818181818181,0.47035821263237226,0.6269338457993922
15-count-target,15_count_target_v1__checkpoint-860,aggregation,OOD,binary,0.6952554744525548,548,0.7262773722627737,-0.031021897810218912,0.5929329327470775,0.7590334566749041
15-count-target,15_count_target_v1__checkpoint-860,aggregation,OOD,number,0.4917043740573152,1326,0.46907993966817496,0.022624434389140247,0.40840156844458686,0.6032166308665735
15-count-target,15_count_target_v1__checkpoint-860,aggregation,OOD,open_ended,0.0,1,1.0,-1.0,0.5344469173299818,0.8030106746394522
15-count-target,15_count_target_v1__checkpoint-860,object_recognition,ID,fo_class,0.5673913043478261,920,0.2891304347826087,0.27826086956521745,0.5203124225604392,0.651498570583038
15-count-target,15_count_target_v1__checkpoint-860,object_recognition,ID,multiple_choice,0.8111111111111111,90,0.36666666666666664,0.4444444444444445,0.6123130341880342,0.8928609584859585
15-count-target,15_count_target_v1__checkpoint-860,object_recognition,ID,open_ended,0.5559440559440559,286,0.5174825174825175,0.038461538461538436,0.47035821263237226,0.6269338457993922
15-count-target,15_count_target_v1__checkpoint-860,object_recognition,OOD,fo_class,0.5652421652421652,1755,0.36182336182336183,0.20341880341880336,0.5064617950683592,0.6716926454568096
15-count-target,15_count_target_v1__checkpoint-860,object_recognition,OOD,multiple_choice,0.7410714285714286,112,0.5,0.2410714285714286,0.4590366025849897,0.8611559139784947
15-count-target,15_count_target_v1__checkpoint-860,object_recognition,OOD,open_ended,0.6782945736434108,258,0.49224806201550386,0.18604651162790697,0.5344469173299818,0.8030106746394522
15-count-target,15_count_target_v1__checkpoint-860,temporal_grounding,ID,open_ended,1.0,1,1.0,0.0,0.47035821263237226,0.6269338457993922
