run,bucket_mean,delta_vs_06,margin_ID,margin_OOD,number_acc,number_ci_low,number_ci_high,paired_delta_ID,paired_ID_excl0,paired_delta_OOD,paired_OOD_excl0
15-count ep3 (best BM),0.5699,0.0032,0.2242,0.137,0.3876,0.3393,0.4341,,,,
06-vit-lora (CONTROL),0.5667,0.0,0.2074,0.148,0.3714,0.3179,0.419,,,,
13-wise-ft a0.85,0.5642,-0.0025,0.2056,0.1442,0.3732,0.3201,0.422,,,,
14-appearance ep2 (sel),0.5642,-0.0025,0.1954,0.1558,0.3676,0.3165,0.4183,-0.012,False,0.0077,False
15-count ep2 (sel),0.5612,-0.0055,0.202,0.1425,0.3667,0.3178,0.4113,,,,
14-appearance ep3,0.5611,-0.0056,0.1985,0.1458,0.3665,0.3138,0.4134,-0.0088,False,-0.0023,False
13-wise-ft a0.70,0.5533,-0.0134,0.1914,0.1355,0.3721,0.3193,0.4215,,,,
02-lora (LLM only),0.5486,-0.0181,0.1838,0.132,0.3803,0.3305,0.4283,,,,
14-appearance ep1,0.5291,-0.0376,0.1576,0.1205,0.3465,0.2947,0.3972,-0.0497,True,-0.0275,False
15-count ep1,0.5274,-0.0393,0.163,0.111,0.3579,0.3073,0.4038,,,,
13-wise-ft a0.50,0.5008,-0.0659,0.1274,0.091,0.3423,0.2866,0.3933,,,,
00-baseline zero-shot,0.2557,-0.311,-0.0884,-0.191,0.1271,0.0955,0.1624,,,,
