experiment,run,model,bucket_mean,acc_ID,acc_OOD,floor_ID,floor_OOD,margin_ID,margin_OOD,acc_fo_class,acc_number,acc_binary,acc_open_ended,acc_multiple_choice,n_total,date,source_commit,needs_backfill
06-vit-lora,06_vit_lora_v1,Qwen3-VL-8B-Instruct + LoRA r8 ViT+LLM (ckpt-1720),0.566707285167315,0.544404973357016,0.60775,0.3370337477797513,0.45975,0.20737122557726467,0.14800000000000002,0.6198130841121495,0.4250238777459408,0.787292817679558,0.6732495511669659,0.8118811881188119,6252,2026-07-18,8f85735,False
05-bottleneck-audit,a0_real,,0.550266910291361,0.5244227353463587,0.59175,,,,,0.5895327102803738,0.43170964660936,0.7693370165745856,0.6391382405745063,0.7623762376237624,,,3d86401,True
02-lora-sft,02_lora_sft_v1,Qwen3-VL-8B-Instruct + LoRA r8 (ckpt-1720),0.5486234489956542,0.5208703374777975,0.59175,0.3370337477797513,0.45975,0.18383658969804623,0.132,0.5876635514018692,0.43314231136580705,0.7624309392265194,0.6373429084380611,0.7623762376237624,6252,2026-07-13,da56eba,False
06-vit-lora,06_vit_lora_v1__ep1_full,b1_vit_lora epoch 1 (checkpoint-860),0.5345110412460505,0.5062166962699822,0.5785,0.3370337477797513,0.45975,0.1691829484902309,0.11875000000000002,0.5786915887850468,0.4235912129894938,0.7168508287292817,0.6140035906642729,0.7821782178217822,6252,2026-07-18,35b2776,False
02-lora-sft,02_lora_sft_v1__ep1_full,b0_baseline epoch 1 (checkpoint-860),0.5281870266760961,0.48756660746003555,0.58325,0.3370337477797513,0.45975,0.15053285968028424,0.12350000000000005,0.5678504672897197,0.4235912129894938,0.7651933701657458,0.5798922800718133,0.7326732673267327,6252,2026-07-18,35b2776,False
05-bottleneck-audit,a2_shuffled,,0.333769456041094,0.27797513321492,0.38125,,,,,0.2302803738317757,0.3567335243553008,0.6187845303867403,0.5152603231597845,0.2623762376237624,,,3d86401,True
05-bottleneck-audit,a1_black,,0.2751726063374739,0.2673179396092362,0.2685,,,,,0.0706542056074766,0.3519579751671442,0.5994475138121547,0.4488330341113106,0.3267326732673267,,,3d86401,True
00-baseline,0,Qwen3-VL-8B-Instruct,0.2557248487682837,0.24866785079928952,0.26875,0.3370337477797513,0.45975,-0.0883658969804618,-0.191,0.16822429906542055,0.1408787010506208,0.6174033149171271,0.5870736086175943,0.5742574257425742,6252,2026-07-10,da56eba,False
01-ood-split,frame_ood_v1,,,,,,,,,,,,,,,,e69bbb7,True
03-prompt-variants,a0_noFO,,,0.1808,,,,,,,,,,,,,0a805e5,True
03-prompt-variants,a1_v0,,,0.2421,0.2735,,,,,,,,,,,,0a805e5,True
03-prompt-variants,a2_decisive,,,0.2505,,,,,,,,,,,,,0a805e5,True
03-prompt-variants,a3_instrument,,,0.2234,,,,,,,,,,,,,0a805e5,True
03-prompt-variants,a4_negexem,,,0.2602,0.264,,,,,,,,,,,,0a805e5,True
03-prompt-variants,a5_baredigit,,,0.2136,,,,,,,,,,,,,0a805e5,True
03-prompt-variants,VERDICT,,,,,,,,,,,,,,,,0a805e5,True
